Date,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_novos,recuperados,obitos,internados_uci,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,ativos,internados_enfermaria,confirmados_0_9,confirmados_10_19,confirmados_20_29,confirmados_30_39,confirmados_40_49,confirmados_50_59,confirmados_60_69,confirmados_70_79,confirmados_80_plus,obitos_0_9,obitos_10_19,obitos_20_29,obitos_30_39,obitos_40_49,obitos_50_59,obitos_60_69,obitos_70_79,obitos_80_plus,Max_Temp,Min_Temp,Temperature,Precipitation,Wind_Speed,Wind_Direction,Visibility,Cloud_Cover,Relative_Humidity,Rain,Clear,Partially_cloudy
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,10.0,12.9,0.1,22.3,325.25,12.3,7.5,68.15,1,0,0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,10.4,14.5,0.0,16.9,321.58,11.8,3.9,72.08,0,1,0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,10.3,13.3,0.0,17.7,123.33,10.1,3.8,79.2,0,1,0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,13.1,15.1,3.53,24.7,253.13,9.6,6.8,82.29,1,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,14.0,15.3,0.68,38.6,235.63,9.5,4.3,92.37,1,0,0
2020-02-03,2,2,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,12.0,14.7,1.87,33.1,283.71,11.0,8.7,74.14,1,0,0
2020-03-03,4,2,1,1,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,11.2,15.2,1.46,22.3,262.83,10.8,9.5,85.25,1,0,0
2020-04-03,6,3,1,2,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.5,16.3,0.0,22.0,245.63,11.2,6.4,84.25,0,1,0
2020-05-03,9,5,1,3,0,0,0,0,3,0,0,0.0,0,0,0,0,0,0,0,9.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,12.2,14.8,1.19,24.0,290.88,11.1,8.3,77.95,1,0,0
2020-06-03,13,8,1,4,0,0,0,0,4,0,0,0.0,0,0,0,0,0,0,0,13.0,0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,11.5,13.6,0.02,28.2,279.71,11.7,8.4,65.22,1,0,0
2020-07-03,21,15,1,5,0,0,0,0,8,0,0,0.0,0,0,0,0,0,0,0,21.0,0.0,0.0,3.0,1.0,3.0,8.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,10.5,13.9,0.0,20.6,154.0,11.0,2.1,63.01,0,1,0
2020-08-03,30,22,1,6,0,1,0,0,9,0,0,0.0,0,0,0,0,0,0,0,30.0,0.0,0.0,5.0,2.0,4.0,10.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,9.5,13.8,0.0,15.5,246.08,11.0,1.7,72.04,0,1,0
2020-09-03,39,27,1,9,0,2,0,0,9,0,0,0.0,0,0,0,0,0,0,0,39.0,0.0,0.0,6.0,2.0,6.0,14.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,11.0,14.9,0.0,21.9,290.38,11.3,6.1,69.98,0,1,0
2020-10-03,41,27,2,10,0,2,0,0,2,0,0,0.0,0,0,0,0,0,0,0,41.0,40.0,0.0,6.0,2.0,6.0,14.0,4.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,10.2,16.4,0.0,16.2,183.54,11.3,1.2,63.75,0,1,0
2020-11-03,59,36,3,17,0,3,0,0,18,0,0,0.0,0,0,0,0,0,0,0,59.0,57.0,1.0,11.0,4.0,9.0,16.0,5.0,6.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,12.8,19.4,0.0,13.6,132.17,11.4,4.8,58.33,0,1,0
2020-12-03,78,44,5,23,0,5,0,0,19,0,0,0.0,0,0,0,0,0,0,0,78.0,69.0,1.0,12.0,7.0,14.0,21.0,9.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.3,13.1,17.2,0.0,28.4,313.79,11.8,6.8,70.48,0,1,0
2020-03-13,112,53,6,46,0,6,0,0,34,0,0,0.0,0,0,0,0,0,0,0,112.0,107.0,1.0,15.0,11.0,24.0,28.0,14.0,11.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,14.1,0.0,23.2,336.58,10.8,5.2,76.44,0,1,0
2020-03-14,169,77,8,73,0,7,0,0,57,1,0,10.0,0,0,0,0,0,0,0,168.0,104.0,1.0,19.0,19.0,37.0,41.0,26.0,12.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,12.4,16.3,0.0,16.4,215.38,10.5,0.6,72.62,0,1,0
2020-03-15,245,103,10,116,0,10,1,0,76,2,0,9.0,0,0,0,0,0,0,0,243.0,130.0,1.0,25.0,28.0,55.0,53.0,43.0,18.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,10.5,13.8,0.0,24.6,330.83,10.5,1.9,70.07,0,1,0
2020-03-16,331,138,31,142,0,13,1,0,86,3,0,18.0,0,0,0,0,0,0,0,328.0,121.0,3.0,27.0,38.0,65.0,68.0,52.0,37.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,9.6,12.1,0.1,39.4,339.42,10.5,2.5,61.22,1,0,0
2020-03-17,448,196,51,180,0,14,1,0,117,3,1,17.0,0,0,1,0,0,0,0,444.0,189.0,3.0,32.0,55.0,88.0,93.0,73.0,52.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,10.4,14.0,0.0,33.2,94.29,10.5,1.5,54.58,0,1,0
2020-03-18,642,289,74,243,2,21,3,1,194,3,1,20.0,0,0,1,0,0,0,0,638.0,69.0,16.0,36.0,87.0,117.0,138.0,92.0,77.0,49.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,14.6,18.4,0.0,25.2,55.5,10.6,0.1,55.61,0,1,0
2020-03-19,785,381,86,278,2,25,3,1,143,3,3,20.0,0,1,2,0,0,0,0,779.0,69.0,17.0,39.0,102.0,146.0,167.0,121.0,96.0,59.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,13.6,16.9,0.0,18.6,139.67,10.5,0.9,65.94,0,1,0
2020-03-20,1020,506,106,361,2,29,3,1,235,5,6,26.0,1,2,2,0,1,0,0,1009.0,100.0,18.0,44.0,126.0,187.0,196.0,174.0,132.0,90.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,10.5,12.8,2.65,15.2,287.92,9.7,3.0,84.86,1,0,0
2020-03-21,1280,644,137,448,3,31,3,5,260,5,12,35.0,4,4,3,0,1,0,0,1263.0,121.0,18.0,49.0,157.0,234.0,242.0,214.0,180.0,113.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,9.0,11.7,4.06,11.9,179.83,10.5,2.0,80.63,1,0,0
2020-03-22,1600,825,180,534,5,35,4,7,320,5,14,41.0,5,4,4,0,1,0,0,1581.0,128.0,23.0,57.0,187.0,288.0,314.0,282.0,213.0,141.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,9.8,13.3,0.0,16.8,202.17,10.5,1.0,71.27,0,1,0
2020-03-23,2060,1007,238,737,5,42,11,9,460,14,23,47.0,9,5,8,0,1,0,0,2023.0,154.0,25.0,66.0,240.0,347.0,404.0,361.0,294.0,180.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,11.7,15.2,0.0,21.1,176.92,10.5,1.4,70.93,0,1,0
2020-03-24,2362,1130,293,852,6,46,12,12,302,22,33,48.0,14,6,12,0,1,0,0,2307.0,155.0,25.0,65.0,278.0,394.0,448.0,423.0,348.0,213.0,168.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,5.0,21.0,20.6,12.1,16.3,0.0,23.3,77.46,10.5,4.6,61.54,0,1,0
2020-03-25,2995,1517,365,992,12,62,17,16,633,22,43,61.0,20,10,12,0,1,0,0,2930.0,215.0,34.0,77.0,348.0,490.0,551.0,535.0,424.0,276.0,260.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,7.0,25.0,22.0,12.6,16.1,0.0,21.6,151.67,10.5,0.9,62.61,0,1,0
2020-03-26,3544,1858,435,1082,20,89,24,15,549,43,60,61.0,28,13,18,0,1,0,0,3441.0,130.0,43.0,100.0,400.0,578.0,671.0,637.0,484.0,317.0,314.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,15.0,33.0,18.0,11.2,13.9,0.0,22.5,315.46,10.5,3.9,72.59,0,1,0
2020-03-27,4268,2443,520,1110,30,99,24,21,724,43,76,71.0,33,18,24,0,1,0,0,4149.0,283.0,49.0,104.0,433.0,671.0,821.0,775.0,613.0,415.0,383.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,18.0,43.0,17.9,10.1,13.3,0.0,18.1,312.79,10.5,1.9,67.01,0,1,0
2020-03-28,5170,3035,647,1287,34,106,30,31,902,43,100,89.0,44,28,27,0,1,0,0,5027.0,329.0,56.0,123.0,518.0,801.0,1002.0,931.0,736.0,510.0,493.0,0.0,0.0,0.0,0.0,2.0,5.0,14.0,21.0,58.0,17.2,9.9,13.5,0.0,23.9,98.67,10.5,0.4,60.88,0,1,0
2020-03-29,5962,3550,709,1478,41,108,33,43,792,43,119,138.0,61,28,28,0,2,0,0,5800.0,348.0,64.0,138.0,588.0,902.0,1146.0,1084.0,850.0,611.0,579.0,0.0,0.0,0.0,0.0,2.0,5.0,15.0,27.0,70.0,18.4,11.0,14.3,0.0,21.9,180.96,10.5,1.1,74.25,0,1,0
