Date,Diabetes,Ebola
2014-01-01,15,
2014-01-02,16,
2014-01-03,12,
2014-01-04,12,83.0
2014-01-05,18,298.0
2014-01-06,14,413.0
2014-01-07,11,
2014-01-08,11,887.0
2014-01-09,8,3024.0
2014-01-10,10,6802.0
2014-01-11,16,4946.0
2014-01-12,15,10204.0
2014-01-13,12,
2014-01-14,17,
2014-01-15,25,
2014-01-16,13,
2014-01-17,13,
2014-01-18,13,
2014-01-19,16,
2014-01-20,21,
2014-01-21,14,
2014-01-22,20,
2014-01-23,11,
2014-01-24,18,
2014-01-25,14,
2014-01-26,21,
2014-01-27,12,
2014-01-28,19,
2014-01-29,19,
2014-01-30,15,
2014-01-31,14,
2014-02-01,17,
2014-02-02,15,
2014-02-03,14,
2014-02-04,22,
2014-02-05,12,11.0
2014-02-06,18,10.0
2014-02-07,11,481.0
2014-02-08,13,
2014-02-09,17,4030.0
2014-02-10,13,4232.0
2014-02-11,8,10382.0
2014-02-12,17,12954.0
2014-02-13,20,
2014-02-14,11,
2014-02-15,12,
2014-02-16,15,
2014-02-17,13,
2014-02-18,23,
2014-02-19,11,
2014-02-20,16,
2014-02-21,17,
2014-02-22,21,
2014-02-23,16,
2014-02-24,15,
2014-02-25,11,
2014-02-26,13,
2014-02-27,18,
2014-02-28,26,
2014-03-01,25,
2014-03-02,15,
2014-03-03,13,
2014-03-04,15,
2014-03-05,6,310.0
2014-03-06,13,430.0
2014-03-07,12,
2014-03-08,15,
2014-03-09,11,4104.0
2014-03-10,15,5480.0
2014-03-11,20,7552.0
2014-03-12,18,9086.0
2014-03-13,12,
2014-03-14,16,
2014-03-15,22,
2014-03-16,15,
2014-03-17,14,
2014-03-18,10,
2014-03-19,20,
2014-03-20,14,
2014-03-21,18,
2014-03-22,7,
2014-03-23,22,
2014-03-24,15,59.0
2014-03-25,13,60.0
2014-03-26,14,62.0
2014-03-27,14,66.0
2014-03-28,19,70.0
2014-03-29,9,
2014-03-30,12,
2014-03-31,15,80.0
2014-04-01,13,
2014-04-02,14,
2014-04-03,15,
2014-04-04,17,172.0
2014-04-05,13,
2014-04-06,10,
2014-04-07,7,
2014-04-08,11,932.0
2014-04-09,28,3296.0
2014-04-10,9,6060.0
2014-04-11,14,7652.0
2014-04-12,14,13166.0
2014-04-13,13,26.0
2014-04-14,17,108.0
2014-04-15,12,
2014-04-16,9,270.0
2014-04-17,13,258.0
2014-04-18,7,13.0
2014-04-19,12,
2014-04-20,16,272.0
2014-04-21,22,13.0
2014-04-22,18,
2014-04-23,13,304.0
2014-04-24,7,11.0
2014-04-25,15,
2014-04-26,14,286.0
2014-04-27,10,
2014-04-28,15,
2014-04-29,10,
2014-04-30,13,
2014-05-01,20,
2014-05-02,16,
2014-05-03,18,
2014-05-04,12,
2014-05-05,15,314.0
2014-05-06,10,458.0
2014-05-07,16,
2014-05-08,15,
2014-05-09,8,4362.0
2014-05-10,6,4440.0
2014-05-11,11,2138.0
2014-05-12,13,19720.0
2014-05-13,18,
2014-05-14,10,
2014-05-15,7,
2014-05-16,14,
2014-05-17,16,
2014-05-18,12,
2014-05-19,19,
2014-05-20,12,
2014-05-21,12,
2014-05-22,15,
2014-05-23,14,348.0
2014-05-24,13,
2014-05-25,14,5.0
