Date;All causes (A00-R99);Diabetes (E10-E14)
01/01/2014;1 418;15
02/01/2014;1 485;17
03/01/2014;1 456;25
04/01/2014;1 448;13
05/01/2014;1 411;20
06/01/2014;1 536;21
07/01/2014;1 460;15
08/01/2014;1 448;17
09/01/2014;1 441;16
10/01/2014;1 412;8
11/01/2014;1 416;18
12/01/2014;1 411;6
13/01/2014;1 429;12
14/01/2014;1 377;17
15/01/2014;1 477;25
16/01/2014;1 425;13
17/01/2014;1 328;13
18/01/2014;1 366;13
19/01/2014;1 298;16
20/01/2014;1 325;21
21/01/2014;1 387;14
22/01/2014;1 397;20
23/01/2014;1 364;11
24/01/2014;1 391;18
25/01/2014;1 373;14
26/01/2014;1 405;21
27/01/2014;1 367;12
28/01/2014;1 405;19
29/01/2014;1 308;19
30/01/2014;1 317;15
31/01/2014;1 418;14
01/02/2014;1 415;16
02/02/2014;1 352;15
03/02/2014;1 356;15
04/02/2014;1 370;14
05/02/2014;1 496;16
06/02/2014;1 419;17
07/02/2014;1 387;16
08/02/2014;1 419;15
09/02/2014;1 341;15
10/02/2014;1 422;16
11/02/2014;1 393;16
12/02/2014;1 403;14
13/02/2014;1 419;20
14/02/2014;1 518;11
15/02/2014;1 391;12
16/02/2014;1 437;15
17/02/2014;1 463;13
18/02/2014;1 553;23
19/02/2014;1 422;11
20/02/2014;1 386;16
21/02/2014;1 379;17
22/02/2014;1 310;21
23/02/2014;1 345;16
24/02/2014;1 449;15
25/02/2014;1 384;11
26/02/2014;1 334;13
27/02/2014;1 321;18
28/02/2014;1 336;26
01/03/2014;1 377;12
02/03/2014;1 443;14
03/03/2014;1 365;13
04/03/2014;1 264;15
05/03/2014;1 313;18
06/03/2014;1 318;17
07/03/2014;1 411;17
08/03/2014;1 331;18
09/03/2014;1 331;10
10/03/2014;1 330;13
11/03/2014;1 287;12
12/03/2014;1 350;16
13/03/2014;1 300;12
14/03/2014;1 321;16
15/03/2014;1 316;22
16/03/2014;1 270;15
17/03/2014;1 249;14
18/03/2014;1 345;10
19/03/2014;1 297;20
20/03/2014;1 340;14
21/03/2014;1 327;18
22/03/2014;1 291;7
23/03/2014;1 336;22
24/03/2014;1 293;15
25/03/2014;1 280;13
26/03/2014;1 352;14
27/03/2014;1 266;14
28/03/2014;1 319;19
29/03/2014;1 364;9
30/03/2014;1 250;12
31/03/2014;1 302;15
01/04/2014;1 379;12
02/04/2014;1 366;22
03/04/2014;1 378;15
04/04/2014;1 329;17
05/04/2014;1 341;12
06/04/2014;1 254;14
07/04/2014;1 266;21
08/04/2014;1 174;13
09/04/2014;1 246;10
10/04/2014;1 272;15
11/04/2014;1 315;12
12/04/2014;1 322;14
13/04/2014;1 262;13
14/04/2014;1 229;17
15/04/2014;1 240;12
16/04/2014;1 286;9
17/04/2014;1 259;13
18/04/2014;1 279;7
19/04/2014;1 313;12
20/04/2014;1 314;16
21/04/2014;1 281;22
22/04/2014;1 317;18
23/04/2014;1 308;13
24/04/2014;1 267;7
25/04/2014;1 304;15
26/04/2014;1 328;14
27/04/2014;1 222;10
28/04/2014;1 260;15
29/04/2014;1 352;10
30/04/2014;1 220;13
01/05/2014;1 248;18
02/05/2014;1 276;12
03/05/2014;1 221;6
04/05/2014;1 253;13
05/05/2014;1 228;15
06/05/2014;1 339;13
07/05/2014;1 238;8
08/05/2014;1 263;16
09/05/2014;1 284;16
10/05/2014;1 174;18
11/05/2014;1 226;14
12/05/2014;1 174;14
13/05/2014;1 219;18
14/05/2014;1 184;10
15/05/2014;1 204;7
16/05/2014;1 294;14
17/05/2014;1 191;16
18/05/2014;1 245;12
19/05/2014;1 300;19
20/05/2014;1 217;12
21/05/2014;1 183;12
22/05/2014;1 231;15
23/05/2014;1 221;14
24/05/2014;1 172;13
25/05/2014;1 213;14
26/05/2014;1 204;16
27/05/2014;1 191;12
28/05/2014;1 171;9
29/05/2014;1 228;22
30/05/2014;1 224;13
31/05/2014;1 176;15
01/06/2014;1 149;14
02/06/2014;1 266;18
03/06/2014;1 237;13
04/06/2014;1 208;10
05/06/2014;1 179;10
06/06/2014;1 261;7
07/06/2014;1 320;12
08/06/2014;1 223;12
09/06/2014;1 302;18
10/06/2014;1 239;15
11/06/2014;1 214;18
12/06/2014;1 187;20
13/06/2014;1 268;22
