Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
01-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
02-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
03-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
04-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
05-01-2014,,,,,,,,,,,,,,,,,,,,,,,,
06-01-2014,,,,,,,,,,,,,,57.82541,55.68003,55.77982,47.24820,45.65164,50.09207,58.72347,53.33508,49.49336,47.44777,42.45852
07-01-2014,48.29594,47.56418,57.82541,63.76262,64.31143,57.67573,48.34583,35.42368,28.63830,32.28045,39.61465,39.16561,30.48432,30.93335,29.18711,36.62110,34.02669,34.97464,42.10927,39.46497,42.70798,45.15271,42.25895,35.27400
08-01-2014,36.65436,41.37751,45.35228,43.70583,44.90325,40.26325,33.42798,30.53421,31.93120,21.50367,16.21506,32.08088,30.53421,25.99399,9.77893,8.93076,11.17592,5.93721,8.53162,11.42538,6.68560,6.48603,33.52776,39.21551
09-01-2014,29.27027,15.03427,27.19141,45.30239,67.10541,49.24390,28.38883,38.66669,54.93164,59.57165,54.83186,37.21981,44.25465,46.40003,35.67314,42.80777,26.84217,29.48647,28.93765,30.88346,30.48432,32.57980,30.33464,29.18711
10-01-2014,35.45694,38.25092,41.66024,34.72518,30.28475,27.79012,13.22151,6.33635,7.43398,12.37334,17.76173,18.41033,16.11528,16.06539,10.37764,8.88087,7.03484,9.03054,9.23011,9.28001,11.92431,15.66625,13.42108,11.92431
11-01-2014,17.29607,30.46769,35.22411,38.61680,48.24605,50.09207,47.44777,34.22626,38.66669,33.02884,30.68389,34.67529,45.90110,51.08992,47.64734,40.46282,22.95055,18.01119,18.51012,9.28001,9.92861,12.67270,8.68130,5.08904
12-01-2014,14.63513,13.23814,20.65550,19.35829,17.51227,24.49722,21.25421,24.34754,25.14582,28.28905,32.72948,36.67099,36.17206,34.72518,38.16776,34.17636,29.63615,34.47572,41.46067,37.66884,37.36948,37.21981,38.36733,35.72303
13-01-2014,32.46339,24.01492,25.69464,44.85336,55.43057,37.71873,25.79442,10.72689,7.53377,11.37549,13.92001,23.59915,22.55141,19.65765,20.35614,22.15227,21.05464,15.71614,13.07184,21.10453,45.30239,44.75357,49.84261,58.32433
14-01-2014,61.53408,55.48046,53.18541,55.53035,53.93379,34.32604,14.86797,,,,13.77033,15.26711,19.05894,29.73593,22.15227,9.67915,3.64215,3.34280,10.92646,15.71614,17.51227,33.27830,38.26755,46.30024
15-01-2014,57.74225,49.82598,46.84906,47.14841,45.95099,42.25895,35.17421,15.66625,14.71829,15.46668,13.17162,17.71184,17.61205,22.10238,21.15442,31.48217,27.39098,20.80517,26.64260,44.75357,50.89035,48.19616,47.59745,46.84906
16-01-2014,52.68648,38.84963,63.11401,57.02713,48.94454,49.04433,37.96819,15.76603,9.92861,18.70969,26.09378,33.37808,39.76432,34.97464,37.26970,31.78152,32.72948,37.31959,32.52991,29.33679,46.15056,43.15701,46.49981,44.50411
17-01-2014,52.95257,61.73365,64.56090,62.61509,60.17036,55.87960,54.18326,48.14626,42.10927,36.32174,39.96389,34.82497,36.42153,36.72088,28.43873,22.65120,20.00689,13.82022,14.21936,17.61205,23.54926,20.40603,25.14582,25.74453
18-01-2014,29.93550,33.59428,30.73378,23.34969,18.06109,22.65120,19.70754,29.18711,25.74453,28.68819,23.44948,28.43873,38.76647,43.55615,38.51701,41.36088,35.22411,27.64045,27.93980,17.21291,12.17377,19.55786,30.43443,31.53206
19-01-2014,32.99557,32.72948,33.72733,34.67529,24.74668,28.53851,20.20646,13.07184,7.13463,10.47743,15.86582,16.86367,19.90711,32.72948,26.64260,23.20001,19.10883,12.87227,21.55356,18.51012,17.86152,7.73334,17.56216,26.24346
20-01-2014,33.06210,36.85393,33.52776,25.39528,19.00904,7.98280,1.34710,0.39914,0.94796,1.34710,2.09549,4.78968,4.54022,6.53592,5.93721,3.24301,1.34710,1.44688,1.74624,1.69635,2.89377,3.89162,3.64215,2.74409
21-01-2014,2.52789,1.99570,1.69635,0.34925,0.29936,0.24946,0.34925,0.04989,0.09979,1.34710,3.49248,6.98495,9.18022,13.87012,8.63140,5.73764,2.24516,0.44903,0.19957,2.79398,7.63355,14.81807,31.03314,41.41078
22-01-2014,47.56418,51.55558,50.39143,50.84046,49.29379,41.56045,42.65809,27.24131,17.26281,15.56646,19.20861,17.16302,11.92431,9.72904,5.13893,4.54022,1.34710,0.19957,0.04989,0.00000,0.99785,1.34710,7.13463,4.19097
23-01-2014,3.06007,24.41406,22.60130,21.55356,24.44733,17.01334,16.96345,12.02409,9.92861,9.28001,18.85937,38.91615,66.60649,65.35918,55.87960,43.55615,42.40863,40.16346,43.05723,47.59745,51.18971,50.74067,53.03573,51.43917
