Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,04/01/2020,12.6,7.5,9.3,5.2,,18.77,0,0,20.7,208.83,,9.6,2.9,87.87,Rain
Portugal,04/02/2020,19.5,7.6,12.9,5.7,,0,0,0,18.4,298.42,,10.5,1.6,71.82,Clear
Portugal,04/03/2020,20,9.5,14.3,8.5,,0,0,0,18.2,219,,10.4,0.7,67.73,Clear
Portugal,04/04/2020,18.2,12,15,,,0.15,0,0,23.9,108.71,61.2,10.5,1.4,73.29,Rain
Portugal,04/05/2020,18.1,14.2,16,,,11.67,0,0,38.9,204.25,,9.7,4.3,93.98,Rain
Portugal,04/06/2020,16.2,13.2,14.9,,,22.07,0,0,24.9,182.63,,5.7,8.6,98.61,Rain
Portugal,04/07/2020,19.1,15,16.6,,,0.48,0,0,20.3,218.21,,7.9,7.7,91.91,Rain
Portugal,04/08/2020,19.4,13.6,15.9,,,0.96,0,0,14.8,162.04,,8.4,4.6,90.26,Rain
Portugal,04/09/2020,17.2,14.7,15.7,,,23.54,0,0,17.1,220.75,,8.9,3.6,94.3,Rain
Portugal,04/10/2020,21.8,13.6,17,,,0,0,0,17,264.58,,10.3,3.3,83.7,Clear
Portugal,04/11/2020,21.5,13.5,16.1,,,0,0,0,20.1,298.5,,10.6,2.2,77.62,Clear
Portugal,04/12/2020,21.6,12.6,16.3,,,0,0,0,21,272.67,,10.5,2.1,76.19,Clear
Portugal,04/13/2020,16,12.5,13.7,,,2.53,0,0,16,279.13,,9.8,3,79.14,Rain
Portugal,04/14/2020,20.4,11.5,14.6,,,12.28,0,0,24.3,131.79,50,10.2,4.4,78.67,Rain
Portugal,04/15/2020,17.5,11.7,14.1,,,12.84,0,0,30.6,167.13,,10.4,3.3,87.84,Rain
Portugal,04/16/2020,18.1,12.7,15.1,,,30.47,0,0,38.8,184.08,46.4,9.7,3.9,90.26,Rain
Portugal,04/17/2020,19.5,13.7,16.1,,,5.77,0,0,25.1,221.67,,10.4,2.6,82.58,Rain
Portugal,04/18/2020,20.4,11.9,15.8,,,0,0,0,20.1,192.96,,10.4,1.7,78.36,Clear
Portugal,04/19/2020,19.8,12.6,15.6,,,0,0,0,23,325.67,,10.5,2.5,73.38,Clear
Portugal,04/20/2020,15.6,11.8,13.9,,,16.03,0,0,23.9,240.04,63,10,7.4,82.54,Rain
Portugal,04/21/2020,19,11.1,14.5,,,3.04,0,0,22.9,254.88,,10.4,3.5,80.08,Rain
Portugal,04/22/2020,19,12.5,15.4,,,0,0,0,22.5,334.5,,10.5,2.2,72.35,Clear
Portugal,04/23/2020,20.6,12.6,16,,,0,0,0,16.3,232.58,31.7,10.3,5.5,76.38,Clear
Portugal,04/24/2020,22.1,13,16.7,,,0,0,0,26,327.71,44.6,10.5,4.4,75.32,Clear
Portugal,04/25/2020,20.4,13.2,15.9,,,0,0,0,21.6,325.58,,10.5,2.7,70.59,Clear
Portugal,04/26/2020,19.5,11.6,15.3,,,0,0,0,17.2,269.67,,10.5,1.9,73.33,Clear
Portugal,04/27/2020,18.2,12.4,14.6,,,5.9,0,0,17.1,209.13,,10.5,3,79.91,Rain
Portugal,04/28/2020,18.6,11.6,15,,,0,0,0,18.5,262.08,,10.5,2.2,76.5,Clear
Portugal,04/29/2020,19,13,15.5,,,1.67,0,0,24.8,236.08,,9.5,3.1,84.69,Rain
Portugal,04/30/2020,20.3,14.1,16.9,,,0.1,0,0,24.1,237.79,,10.3,5.8,80.38,Rain
Portugal,05/01/2020,22,15.7,17.9,,,0.86,0,0,18.7,241.67,,10.3,3.1,84.47,Rain
Portugal,05/02/2020,23.2,14.6,18.5,,,0,0,0,15.7,187.83,,10.5,2,80.37,Clear
Portugal,05/03/2020,32,15.5,22.1,,31.1,0,0,0,22.3,112.21,,10.5,0.2,66.02,Clear
Portugal,05/04/2020,21.6,16.3,18.8,,,0,0,0,35.6,221.17,59.4,10.5,4.3,81.67,Clear
Portugal,05/05/2020,20.5,15.3,17.7,,,0,0,0,22.9,216.13,,10.5,23.7,80.18,Clear
