Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,04/01/2021,18.6,14.6,16.1,,,5.81,0,0,28.5,202.63,,9.6,4.2,85.9,Rain
Portugal,04/02/2021,18.7,12.6,15.3,,,0,0,0,16.2,271.46,,10.2,3.4,80.04,Clear
Portugal,04/03/2021,18.7,12.6,15.1,,,0,0,0,22.8,316,,10.4,3.5,78.74,Clear
Portugal,04/04/2021,22,11.9,16,,,0,0,0,19.6,266.75,28.8,10.1,8.5,76.92,Clear
Portugal,04/05/2021,21.5,11.9,16,,,0,0,0,19.3,193.42,,9.9,3.4,67.56,Clear
Portugal,04/06/2021,24,12.5,17.6,,,0,0,0,16.5,228.83,,11.1,4,55.19,Clear
Portugal,04/07/2021,21.2,11.5,15.8,,,0,0,0,15.6,245.88,,10.6,7.2,64.14,Clear
Portugal,04/08/2021,20.6,11.4,15.3,,,0,0,0,20.1,217.25,,9.5,7,78.59,Clear
Portugal,04/09/2021,19.6,14.2,16.7,,,0,0,0,23.3,208.42,,10.8,7,80.12,Clear
Portugal,04/10/2021,18.9,14.2,16.1,,,12.89,0,0,26.5,211.13,33.5,10.4,6.4,87.08,Rain
Portugal,04/11/2021,20.8,13,15.6,,,2.53,0,0,22.5,318.67,,10.7,4.6,76.28,Rain
Portugal,04/12/2021,19.5,10.9,14.4,,,0.1,0,0,10.8,169.3,,11.1,6,75.13,Rain
Portugal,04/13/2021,18.2,13.2,15.5,,,12.84,0,0,14.8,205.38,,10.9,10,82.24,Rain
Portugal,04/14/2021,18.7,14.7,16.3,,,4.57,0,0,16.1,107.71,,9.3,16.9,92.17,Rain
Portugal,04/15/2021,20,14.7,16.7,,,4.21,0,0,13.2,133.13,25.9,10.8,29.8,87.82,"Rain, Partially cloudy"
Portugal,04/16/2021,22.1,14,17.3,,,0,0,0,17.4,249.08,,10.6,4.2,72.03,Clear
Portugal,04/17/2021,23.1,12.9,17,,,0.1,0,0,17.8,182.96,,10.4,0.4,56.83,Rain
Portugal,04/18/2021,22.6,12.9,16.9,,,0,0,0,19.6,206.25,108,10.9,2.6,62.5,Clear
Portugal,04/19/2021,22.4,13.2,17.1,,,0,0,0,20.1,310.13,,11.7,5.4,67.84,Clear
Portugal,04/20/2021,20.4,13.6,16.3,,,0,0,0,20.9,308.17,,12.2,7.8,72.08,Clear
Portugal,04/21/2021,18.4,13.5,15.3,,,1.04,0,0,27.4,255.25,46.4,10.7,13.4,83.51,Rain
Portugal,04/22/2021,20.1,13.1,16.3,,,0.2,0,0,18,258.5,,10.8,5.3,76.68,Rain
Portugal,04/23/2021,18.2,15,16,,,5.74,0,0,28.5,184.96,,10.4,6.6,83.97,Rain
Portugal,04/24/2021,21.6,14.7,17.4,,,11.48,0,0,25,178.13,33.5,10.3,7.3,80.9,Rain
Portugal,04/25/2021,21.6,14.5,17.6,,,0.91,0,0,21.4,165.83,,10.4,4.9,73.43,Rain
Portugal,04/26/2021,19.7,14.1,16.1,,,12.86,0,0,14.4,108.83,40.7,11.1,13.7,85.7,Rain
Portugal,04/27/2021,20.2,14.1,16.8,,,0.1,0,0,18,279,,11.8,10.6,74.68,Rain
Portugal,04/28/2021,18.1,12.7,15.1,,,0.54,0,0,22,278.38,,11.5,15,77.22,Rain
Portugal,04/29/2021,18.1,11.6,14.7,,,0,0,0,21,318.67,,12.2,11.2,59.32,Clear
Portugal,04/30/2021,17.4,11,13.7,,,0,0,0,23.6,323.18,,10,34.4,62.32,Partially cloudy
