,confirmados_novos,recuperados,total_testes,testes_pcr,tests_per_case_Australia,new_deaths_Canada,icu_patients_per_million_Canada,hosp_patients_Canada,icu_patients_per_million_Cyprus,new_deaths_Denmark,new_deaths_per_million_Denmark,icu_patients_Denmark,icu_patients_per_million_Denmark,hosp_patients_Denmark,hosp_patients_per_million_Denmark,new_cases_Dominican Republic,new_cases_per_million_Dominican Republic,new_tests_Dominican Republic,new_deaths_per_million_Georgia,new_deaths_Germany,new_deaths_per_million_Germany,icu_patients_Germany,icu_patients_per_million_Germany,new_deaths_Ireland,new_deaths_per_million_Ireland,icu_patients_Ireland,icu_patients_per_million_Ireland,hosp_patients_Ireland,hosp_patients_per_million_Ireland,new_tests_Ireland,new_tests_per_thousand_Ireland,new_cases_Japan,new_cases_per_million_Japan,new_tests_per_thousand_Japan,new_cases_Latvia,new_deaths_Latvia,new_cases_per_million_Latvia,new_deaths_per_million_Latvia,hosp_patients_Latvia,hosp_patients_per_million_Latvia,positive_rate_Latvia,new_deaths_Lithuania,positive_rate_Lithuania,positive_rate_Malta,new_cases_Mexico,new_deaths_Mexico,new_cases_per_million_Mexico,new_deaths_per_million_Mexico,new_tests_per_thousand_Mexico,new_cases_Monaco,new_cases_per_million_Montenegro,new_cases_Mozambique,new_cases_per_million_Mozambique,new_tests_Mozambique,new_tests_per_thousand_Mozambique,positive_rate_Mozambique,new_cases_Portugal,new_deaths_Portugal,new_cases_per_million_Portugal,new_deaths_per_million_Portugal,icu_patients_Portugal,icu_patients_per_million_Portugal,hosp_patients_Portugal,new_tests_per_thousand_Portugal,positive_rate_Portugal,new_cases_Russia,new_deaths_Russia,new_cases_per_million_Russia,new_cases_per_million_Slovakia,new_deaths_per_million_Slovakia,hosp_patients_Slovakia,hosp_patients_per_million_Slovakia,new_cases_Slovenia,new_deaths_per_million_Slovenia,icu_patients_Slovenia,icu_patients_per_million_Slovenia,hosp_patients_Slovenia,positive_rate_Slovenia,icu_patients_per_million_Spain,hosp_patients_Spain,positive_rate_Sweden,new_cases_United Arab Emirates,new_cases_per_million_United Arab Emirates,positive_rate_United Arab Emirates,new_vaccinations_United Arab Emirates,new_cases_United Kingdom,new_deaths_United Kingdom,new_cases_per_million_United Kingdom,new_deaths_per_million_United Kingdom,icu_patients_United Kingdom,icu_patients_per_million_United Kingdom,hosp_patients_United Kingdom,hosp_patients_per_million_United Kingdom,new_cases_United States,new_deaths_United States,new_cases_per_million_United States,new_deaths_per_million_United States,icu_patients_United States,icu_patients_per_million_United States,hosp_patients_United States,new_tests_United States
2020-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.15,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,3.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.206,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,7.0,0.0,0.103,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.142,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.607,0.001,0.0,12.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.071,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.023,0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.202,0.001,0.0,5.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.024,0.003,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.111,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,33.0,0.0,0.486,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.021,0.0,0.0,0.0,0.0,347.0
2020-03-02,2.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.15,0.001,1.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.196,0.0,0.0,0.0,0.0,0.004,0.0,1.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,40.0,0.0,0.589,0.0,0.0,0.0,0.0,0.0,23.0,5.0,0.069,0.015,0.0,0.0,0.0,503.0
2020-03-03,2.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.158,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.607,0.001,0.0,55.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.057,0.003,0.0,0.0,0.0,604.0
2020-03-04,2.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.277,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.294,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,57.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,33.0,4.0,0.1,0.012,0.0,0.0,0.0,856.0
2020-03-05,3.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.253,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.294,0.0,0.0,0.0,0.0,0.008,0.0,1.0,0.0,0.007,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,2.0,0.202,0.001,0.0,49.0,0.0,0.722,0.0,0.0,0.0,0.0,0.0,77.0,1.0,0.233,0.003,0.0,0.0,0.0,1190.0
2020-03-06,4.0,0.0,81.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.435,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.49,0.0,0.0,0.0,0.0,0.008,0.0,9.0,0.0,0.062,0.183,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,1.0,1.164,0.015,0.0,0.0,0.0,0.0,53.0,2.0,0.16,0.006,0.0,0.0,0.0,1487.0
2020-03-07,8.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.645,0.0,0.0,46.0,0.364,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.686,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.0,16.0,1.618,0.001,0.0,55.0,1.0,0.81,0.015,0.0,0.0,0.0,0.0,166.0,3.0,0.502,0.009,0.0,0.0,0.0,1763.0
2020-03-08,9.0,0.0,84.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.443,0.0,0.0,33.0,0.261,0.001,1.0,0.0,0.53,0.0,0.0,0.0,0.009,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.981,0.0,0.0,0.0,0.0,0.008,0.064,4.0,0.0,0.027,0.366,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.001,0.0,54.0,0.0,0.795,0.0,0.0,0.0,0.0,0.0,116.0,4.0,0.35,0.012,0.0,0.0,0.0,1601.0
2020-03-09,9.0,0.0,175.0,175.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.645,0.0,0.0,28.0,0.221,0.01,4.0,0.0,2.121,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.001,0.0,147.0,1.0,2.165,0.015,0.0,0.0,0.0,0.0,75.0,1.0,0.227,0.003,0.0,0.0,0.0,2321.0
2020-03-10,2.0,0.0,306.0,306.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.266,0.0,0.0,58.0,0.459,0.003,2.0,0.0,1.06,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.079,0.0,0.0,0.0,40.0,0.03,0.046,3.0,0.0,0.021,0.733,0.0,0.0,0.0,15.0,0.0,1.0,0.481,18.0,0.027,0.0,0.0,0.0,29.0,2.932,0.001,0.0,259.0,4.0,3.815,0.059,0.0,0.0,0.0,0.0,188.0,6.0,0.568,0.018,0.0,0.0,0.0,3348.0
2020-03-11,18.0,0.0,580.0,580.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.012,0.0,0.0,1.0,0.203,0.0,0.0,32.0,6.481,0.0,0.0,55.0,0.435,0.001,2.0,0.0,1.06,0.0,0.0,0.0,0.035,0.0,0.0,0.0,1.0,0.0,0.008,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.765,0.0,0.0,0.0,57.0,0.057,0.039,0.0,0.0,0.0,0.549,0.0,0.0,0.0,26.0,0.0,1.0,0.481,18.0,0.031,0.0,0.0,0.0,0.0,0.0,0.002,0.0,412.0,0.0,6.069,0.0,0.0,0.0,0.0,0.0,365.0,5.0,1.103,0.015,0.0,0.0,0.0,4686.0
2020-03-12,19.0,0.0,938.0,938.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,8.911,0.0,0.0,56.0,0.443,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.008,4.0,0.0,0.031,0.0,0.003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.092,0.023,8.0,0.0,0.055,1.099,0.0,0.0,0.0,32.0,0.0,2.0,0.962,17.0,0.036,0.0,0.0,0.0,11.0,1.112,0.002,0.0,489.0,2.0,7.203,0.029,0.0,0.0,0.0,0.0,439.0,10.0,1.326,0.03,0.0,0.0,0.0,8793.0
2020-03-13,34.0,0.0,1551.0,1551.0,0.0,0.0,0.026,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.048,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.291,0.0,0.0,37.0,0.293,0.007,7.0,0.0,3.711,0.0,0.0,0.0,0.04,0.0,0.0,0.014,14.0,0.0,0.109,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,5.198,0.0,0.0,0.0,107.0,0.152,0.027,17.0,0.0,0.116,2.931,0.0,0.0,0.0,52.0,0.0,4.0,1.924,22.0,0.038,0.0,0.0,0.0,0.0,0.0,0.002,0.0,480.0,1.0,7.071,0.015,0.0,0.0,0.0,0.0,633.0,8.0,1.912,0.024,0.0,0.0,0.0,11675.0
