Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
01-01-2014,61.06842,55.01480,52.18756,47.79702,45.60175,51.04003,48.99444,46.25035,53.68433,53.93379,60.81896,60.12046,53.98369,52.33723,53.13551,53.88390,54.38283,52.38713,49.74282,51.33938,56.32863,64.41122,57.87530,56.87745
02-01-2014,58.74010,64.72720,61.96649,56.87745,59.17251,46.89895,29.53636,17.51227,14.56861,21.20431,26.64260,33.77722,39.86411,40.61250,40.41293,26.60933,22.25206,23.29980,27.19141,27.93980,33.42798,42.05938,46.99874,52.98584
03-01-2014,,63.59631,61.86670,63.96219,59.72132,54.81523,46.79917,54.08347,43.25680,38.31744,44.65379,46.59960,49.34368,51.43917,57.02713,59.22240,55.43057,49.99229,52.61996,57.34311,66.30713,63.61294,52.28734,51.88820
04-01-2014,46.69938,47.63071,47.29809,55.18111,56.97724,56.22885,54.88175,52.02125,53.88390,48.76160,37.86841,39.46497,39.41508,48.84476,43.85551,29.48647,22.41836,29.18711,16.11528,19.65765,23.69894,32.97894,28.88776,30.18496
05-01-2014,32.19729,32.39686,29.48647,25.79442,33.32819,33.27830,25.49507,11.37549,7.33420,13.52087,19.15872,27.54066,22.60130,30.98324,39.71443,33.17851,42.75787,51.04003,46.54970,46.05078,42.45852,49.54325,49.74282,52.08777
06-01-2014,53.15214,49.82598,59.67143,62.56520,60.71917,61.81681,55.38068,60.66928,53.23530,45.30239,38.91615,46.99874,53.73422,53.03573,56.42842,48.29594,46.35013,47.04863,52.58670,52.08777,55.18111,56.32863,54.98154,56.92734
07-01-2014,53.28519,58.20792,62.21595,60.73580,55.92949,56.12906,52.03788,45.65164,38.86626,40.91185,41.80992,35.92260,36.27185,40.36303,45.50196,40.41293,39.46497,36.22196,27.88991,30.68389,35.27400,48.54540,36.47142,39.41508
08-01-2014,48.56203,41.57708,48.49551,46.54970,39.26540,40.36303,31.33249,19.85722,10.67700,10.27786,17.46238,28.73808,30.63400,23.20001,22.35184,19.60775,8.93076,5.63785,6.98495,11.87442,15.41678,13.72044,10.97635,18.41033
09-01-2014,28.07285,34.65866,35.02454,42.05938,60.36993,64.71057,58.97294,45.50196,39.86411,35.97249,29.13722,37.81852,37.51916,31.78152,29.78582,23.39958,16.31485,7.78323,4.68990,2.94366,6.13678,8.68130,8.03269,13.82022
10-01-2014,16.76388,21.55356,25.69464,24.64690,33.12862,26.69249,18.16087,8.28216,1.34710,3.14323,6.63570,20.05679,34.82497,40.91185,28.98754,17.36259,11.52517,9.52947,15.01764,15.31700,17.26281,20.35614,20.70539,31.33249
11-01-2014,31.93120,22.41836,21.15442,28.48862,32.18066,45.35228,35.62325,29.28690,25.19571,18.51012,19.70754,31.08303,35.32389,38.36733,36.07228,24.79657,15.56646,4.73979,2.34495,7.13463,6.38624,0.94796,0.84817,1.04774
