Date,All_Causes,Diabetes,Ozone,Temperature
2014-01-01,1418,15,54.28547191706587,6.966666666666666
2014-02-01,1485,17,62.27441555555556,7.2
2014-03-01,1456,25,34.028750555555554,7.6000000000000005
2014-04-01,1448,13,35.51284486111112,6.366666666666667
2014-05-01,1411,20,62.60607138888889,5.2
2014-06-01,1536,21,54.99867722222222,6.033333333333334
2014-07-01,1460,15,39.33492550091187,8.833333333333334
2014-08-01,1448,17,40.256968055555554,8.366666666666667
2014-09-01,1441,16,32.97996916666667,7.366666666666667
2014-10-01,1412,8,31.418960424282783,6.5
2014-11-01,1416,18,47.923394166666675,6.0
2014-12-01,1411,6,17.19821152777778,3.5333333333333337
2014-01-13,1429,12,38.61881916666667,4.8999999999999995
2014-01-14,1377,17,35.681924187039215,5.633333333333334
2014-01-15,1477,25,40.08807041666666,5.666666666666667
2014-01-16,1425,13,43.93208166666667,7.2
2014-01-17,1328,13,44.51241694444445,6.466666666666666
2014-01-18,1366,13,31.91616847222222,6.266666666666667
2014-01-19,1298,16,28.295123888888885,6.400000000000001
2014-01-20,1325,21,8.594084166666667,4.666666666666667
2014-01-21,1387,14,14.624409999999997,4.133333333333334
2014-01-22,1397,20,27.984851805555554,4.8
2014-01-23,1364,11,39.47198791666667,5.566666666666666
2014-01-24,1391,18,31.11483513888889,5.033333333333333
2014-01-25,1373,14,46.14453486111111,6.1000000000000005
2014-01-26,1405,21,57.31547958333334,6.133333333333333
2014-01-27,1367,12,43.18234125000001,5.266666666666667
2014-01-28,1405,19,49.58151319444445,5.566666666666667
2014-01-29,1308,19,38.12568277777778,5.766666666666667
2014-01-30,1317,15,22.563387777777773,4.566666666666666
2014-01-31,1418,14,29.82926736111111,4.766666666666667
2014-01-02,1415,16,48.5504815003992,5.133333333333334
2014-02-02,1352,15,52.93534972222222,5.866666666666667
2014-03-02,1356,15,55.0370136111111,6.400000000000001
2014-04-02,1370,14,45.37140166666668,5.633333333333334
2014-05-02,1496,16,72.30017666666664,6.233333333333333
2014-06-02,1419,17,45.34404375,7.333333333333333
2014-07-02,1387,16,45.32503694444444,6.1000000000000005
2014-08-02,1419,15,48.50086708333333,6.1000000000000005
2014-09-02,1341,15,36.05306736111112,6.066666666666667
2014-10-02,1422,16,29.204467777777783,4.7
2014-11-02,1393,16,50.760325,3.733333333333333
2014-12-02,1403,14,40.69174888888889,4.633333333333334
2014-02-13,1419,20,59.92033930555555,5.433333333333334
2014-02-14,1518,11,53.41164819444446,6.5
2014-02-15,1391,12,61.81572472222222,6.033333333333334
2014-02-16,1437,15,49.537632777777766,6.066666666666667
2014-02-17,1463,13,40.17298486111111,6.166666666666667
2014-02-18,1553,23,33.31172361111111,7.166666666666667
2014-02-19,1422,11,31.609380138888884,7.966666666666666
2014-02-20,1386,16,51.24765305555555,8.333333333333334
2014-02-21,1379,17,51.22521486111111,7.300000000000001
2014-02-22,1310,21,55.36640611111111,7.7
2014-02-23,1345,16,70.07068861111111,8.933333333333334
2014-02-24,1449,15,56.50986597222223,8.9
2014-02-25,1384,11,63.317681111111106,8.1
2014-02-26,1334,13,47.24972277777778,7.7
2014-02-27,1321,18,55.44248944444445,7.2
2014-02-28,1336,26,30.554753888888882,5.1000000000000005
2014-01-03,1377,12,60.48987011151031,4.9
2014-02-03,1443,14,45.93705511727586,6.3
2014-03-03,1365,13,45.11912194444444,5.233333333333333
2014-04-03,1264,15,35.53431708333333,5.633333333333333
2014-05-03,1313,18,68.20492374999999,6.600000000000001
2014-06-03,1318,17,34.863200416666665,7.833333333333333
2014-07-03,1411,17,47.717761111111116,10.0
2014-08-03,1331,18,54.94754861111111,7.766666666666667
2014-09-03,1331,10,39.526282834288445,9.466666666666669
2014-10-03,1330,13,33.639213194444444,6.666666666666667
2014-11-03,1287,12,41.14937652777778,7.0
2014-12-03,1350,16,25.941204166666665,7.133333333333333
2014-03-13,1300,12,20.683481805555555,6.566666666666666
2014-03-14,1321,16,26.370062500000003,6.3
2014-03-15,1316,22,64.7417373611111,7.833333333333333
2014-03-16,1270,15,59.75373041666666,8.033333333333333
2014-03-17,1249,14,52.52509486111111,9.033333333333333
2014-03-18,1345,10,54.62954652777777,9.5
2014-03-19,1297,20,55.33041388888889,8.166666666666666
2014-03-20,1340,14,60.821517916666664,9.966666666666667
2014-03-21,1327,18,61.449047361111106,8.1
2014-03-22,1291,7,62.72579652777777,6.333333333333333
2014-03-23,1336,22,58.11157444444444,6.0
2014-03-24,1293,15,48.07715708333333,4.433333333333334
2014-03-25,1280,13,40.64619430555556,6.233333333333334
2014-03-26,1352,14,49.968938055555554,4.9333333333333345
2014-03-27,1266,14,46.014227222222225,6.1000000000000005
2014-03-28,1319,19,41.3718225,7.333333333333333
2014-03-29,1364,9,32.501334444444446,9.466666666666667
2014-03-30,1250,12,33.80701152777778,10.466666666666669
2014-03-31,1302,15,23.373784444444443,10.200000000000001
2014-01-04,1379,12,49.537995389288085,9.666666666666666
2014-02-04,1366,22,49.32448719484364,10.733333333333334
2014-03-04,1378,15,29.640213611111108,9.766666666666667
2014-04-04,1329,17,32.83464069444444,9.5
2014-05-04,1341,12,64.43006180555555,9.0
2014-06-04,1254,14,45.10104208333333,12.733333333333334
2014-07-04,1266,21,40.4923825,10.733333333333334
2014-08-04,1174,13,43.86117736111112,9.033333333333333
2014-09-04,1246,10,53.33742958333334,9.700000000000001
2014-10-04,1272,15,37.86424805555556,9.966666666666667
2014-11-04,1315,12,19.93983888888889,10.300000000000002
2014-12-04,1322,14,13.343632777777778,10.366666666666667
2014-04-13,1262,13,69.1019825,10.433333333333334
2014-04-14,1229,17,71.00209444444444,9.800000000000002
