Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
01-01-2014,58.06556,58.99289,59.41997,60.86286,60.54156,59.25932,56.80111,57.70966,58.72497,59.04578,62.14460,64.54892,64.87023,68.50340,69.03725,66.36601,63.26718,61.07590,59.63351,57.44273,55.78580,55.25145,55.99934,56.64096
02-01-2014,61.48552,59.49115,64.92361,65.51135,69.30517,67.96905,60.06059,47.66430,38.95407,44.13740,46.00787,48.19865,50.01474,51.72455,51.35036,40.93081,32.86219,30.13757,42.58774,48.83927,51.67117,50.86989,49.69443,51.19070
03-01-2014,54.21851,56.92601,59.04578,60.11398,58.61770,56.37404,58.19062,56.53419,56.15950,65.83216,67.64874,65.61812,65.29781,69.09113,66.36551,66.20535,70.85434,70.26710,69.89291,70.90822,68.77132,71.65611,76.73217,77.48106
04-01-2014,72.38337,63.89633,60.97263,56.58758,56.15900,57.06804,59.04678,66.00029,60.65182,60.27713,61.23955,58.35127,56.05173,53.43187,52.04087,55.78431,55.67754,54.39430,52.78926,51.93410,47.97563,43.59008,43.69735,42.46700
05-01-2014,43.35858,44.92720,49.68744,51.82733,53.59153,52.57522,52.89653,46.95932,43.69685,49.95487,48.93905,45.72947,45.56932,43.37604,46.74628,53.32411,56.96177,62.68444,61.29344,58.13774,60.54455,59.74278,55.57077,54.07299
06-01-2014,53.91317,52.55743,53.32411,58.03146,63.05863,67.87226,64.12833,65.67899,57.60289,61.29393,71.77635,70.86731,67.76499,64.50202,64.39575,62.41701,58.61920,61.82778,60.17036,60.86586,61.13278,62.63105,64.34187,62.57767
07-01-2014,63.46858,67.10541,63.05813,61.50747,60.43778,60.49166,58.19162,51.66618,47.06659,44.17831,48.18967,62.79121,64.66268,60.33051,54.23365,48.29644,48.56386,48.29694,44.60589,47.65532,50.86391,50.00825,48.93856,50.38294
08-01-2014,51.27419,49.91844,49.31275,45.99739,48.29644,51.18522,48.72502,44.65978,41.34392,42.73442,42.84119,44.55251,47.81548,46.37109,37.17191,26.47496,15.29654,18.45224,29.25596,38.24160,43.21539,43.37604,38.88372,31.55651
09-01-2014,29.09598,30.30737,32.89263,35.99544,39.89953,47.54855,65.51883,57.49612,55.46400,56.69385,51.98749,39.57922,45.56882,47.28063,48.93856,41.77150,46.95932,43.05523,43.85750,41.93215,41.82538,42.46700,42.78781,41.71811
10-01-2014,41.21852,41.43273,40.70230,43.69685,41.50457,38.45564,34.17636,24.65638,7.96933,19.78936,37.01125,36.74383,37.70676,39.84565,36.26287,24.65638,9.14579,6.15075,19.68259,26.79577,23.31926,25.19122,31.18182,36.58418
