Date,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
01-01-2014,53.35171,55.08132,58.22455,58.12476,59.27229,59.17251,58.62369,56.17896,53.88390,55.68003,60.02068,64.31143,71.34628,67.15531,63.56305,52.83616,53.38498,57.32648,60.86885,60.66928,55.77982,59.02283,57.17681,55.97939
02-01-2014,56.74440,53.41824,53.43487,57.87530,60.96864,56.92734,55.43057,36.42153,30.63400,27.19141,38.81637,61.76692,58.17466,60.41982,57.72562,53.03573,36.52131,37.21981,50.14196,53.68433,51.98799,53.78412,56.27874,59.92089
03-01-2014,62.73150,77.76578,78.48090,78.68047,76.93424,71.89509,76.78456,78.13166,75.93639,79.17940,78.48090,75.13811,74.93854,77.73252,74.98843,72.09466,66.45681,59.82111,60.71917,65.35918,72.09466,68.30283,68.10326,74.19015
04-01-2014,77.56621,72.77653,67.70412,68.55230,64.71057,58.57380,54.73207,57.97509,61.01853,54.88175,50.19186,42.80777,40.01379,24.94625,17.61205,18.06109,33.77722,39.06583,35.22411,46.79917,43.05723,40.71228,43.35658,58.62369
05-01-2014,55.74655,56.81093,61.81681,61.91659,60.81896,54.28304,52.33723,52.98584,52.13766,52.23745,54.33293,52.03788,48.44562,50.04218,57.62584,56.62799,58.52390,61.41767,63.46326,60.61939,56.07917,54.48261,70.19875,75.08821
06-01-2014,71.91172,77.69925,79.42886,76.58499,77.08391,75.63703,70.14886,66.10756,55.18111,56.82756,63.51315,67.05552,63.01423,,,,53.43487,61.26799,57.87530,61.76692,63.41337,65.35918,66.45681,65.85810
07-01-2014,67.32161,70.18212,70.99703,71.69552,71.49595,69.69982,68.20305,60.22025,41.51056,47.24820,59.42197,62.96434,64.26154,62.26584,60.32003,61.46756,58.47401,56.07917,55.97939,60.81896,63.61294,65.55875,65.25939,62.61509
08-01-2014,62.33236,63.59631,63.86240,65.90799,67.85380,65.40907,64.01208,52.93594,24.19786,21.45378,34.17636,29.03744,28.58840,20.75528,21.95270,14.31915,8.33205,13.32130,28.43873,29.23701,35.37378,19.80732,28.93765,33.87701
09-01-2014,26.80890,29.20374,27.19141,23.24991,59.92089,69.74972,67.80391,59.97079,45.45207,50.64089,,,,,,,,,,,,,,
10-01-2014,,,,,,,,,,,,,,,,,23.15012,19.90711,13.82022,14.31915,16.36474,51.13981,45.95099,47.34798
11-01-2014,53.35171,56.87745,60.56950,48.84476,45.85121,45.15271,43.45637,48.54540,55.53035,56.17896,54.13336,59.27229,59.27229,54.78197,51.48906,40.21336,21.30410,12.77248,10.47743,11.57506,5.53807,2.49463,2.69420,3.74194
12-01-2014,13.10510,32.99557,36.92045,33.77722,29.08733,18.41033,12.42323,17.51227,27.74023,28.83787,30.83357,33.07873,31.58195,32.92905,34.42583,34.27615,34.17636,33.37808,30.18496,33.07873,36.37163,34.57550,37.66884,58.57380
13-01-2014,52.88605,59.00620,57.32648,63.36348,59.52175,50.59100,43.25680,31.78152,6.38624,18.21076,35.47357,50.29164,55.48046,51.23960,46.25035,31.43228,37.71873,37.46927,36.37163,24.29765,35.12432,44.05508,52.13766,63.01423
14-01-2014,60.27014,57.54268,65.25939,65.60864,62.06627,61.16821,62.11616,41.80992,29.13722,33.67744,41.66024,44.80347,44.20476,48.44562,45.30239,37.07013,27.88991,37.86841,47.04863,45.80132,41.90970,50.14196,49.44347,44.65379
15-01-2014,42.44189,38.45049,39.31529,40.11357,39.16561,34.12647,33.22841,30.38453,34.37593,36.72088,34.67529,44.05508,50.19186,53.98369,59.07272,54.88175,50.89035,44.70368,35.47357,31.98109,38.41723,33.67744,39.91400,43.15701
16-01-2014,42.50841,45.36891,42.85766,45.65164,51.43917,50.99014,43.15701,30.43443,20.90496,18.56001,42.25895,40.96174,39.06583,41.21121,55.03143,49.39358,42.80777,42.85766,45.55185,42.30884,43.35658,41.21121,42.55830,45.90110
17-01-2014,50.95687,51.88820,55.77982,61.81681,61.16821,60.17036,56.12906,35.47357,11.97420,20.50582,38.01809,50.54110,52.13766,53.68433,51.38928,42.50841,35.37378,31.83142,16.81377,18.16087,28.33894,27.34109,32.18066,34.67529
18-01-2014,35.39041,38.84963,31.03314,24.64690,22.30195,15.96560,15.36689,16.51442,27.93980,42.85766,44.50411,47.49766,47.64734,49.99229,46.25035,41.16131,36.47142,33.72733,31.08303,29.23701,33.32819,32.67959,36.62110,50.14196
19-01-2014,51.55558,52.02125,49.99229,51.23960,49.99229,47.19831,37.81852,32.62970,23.44948,16.16517,20.50582,29.23701,32.13077,43.30669,45.75142,44.25465,23.69894,19.90711,32.82927,38.11787,43.70583,38.56690,35.42368,35.97249
20-01-2014,35.65651,38.45049,37.66884,32.38023,21.35399,24.39743,15.06754,2.89377,1.14753,3.09334,8.03269,7.53377,7.48388,3.99140,3.74194,1.89592,2.14538,2.39484,2.24516,2.59441,1.99570,1.74624,1.74624,1.54667
21-01-2014,1.33047,1.46351,2.09549,8.68130,22.05249,20.30625,19.35829,11.27571,8.48173,12.97205,19.80732,25.89421,30.38453,31.38238,35.92260,30.38453,29.33679,33.12862,35.22411,39.56475,42.05938,44.95314,44.60390,48.89465
22-01-2014,47.76375,46.16719,44.55400,43.15701,40.11357,33.22841,23.49937,20.40603,16.86367,24.84647,19.95700,10.72689,36.12217,41.90970,49.29379,42.90755,39.86411,38.06798,32.92905,35.32389,44.15486,44.70368,41.56045,40.31314
23-01-2014,42.04275,39.44834,41.95959,47.99659,50.39143,46.00089,58.52390,59.87100,63.51315,72.89294,68.75187,67.50455,64.26154,64.51100,63.41337,62.91444,56.12906,58.77337,55.08132,56.12906,56.77767,52.18756,42.60820,37.51916
24-01-2014,35.12432,42.57493,37.76862,38.91615,44.00519,43.55615,40.61250,32.72948,30.08518,35.42368,42.80777,48.29594,47.74712,50.64089,46.40003,41.76002,41.41078,37.51916,35.52346,33.82712,29.63615,19.55786,28.13937,48.74497
25-01-2014,52.22082,52.68648,47.59745,47.09852,43.45637,43.20691,42.05938,48.89465,50.94024,55.77982,50.19186,50.14196,66.40692,75.68692,77.88219,79.12951,75.28778,70.79746,69.15101,67.10541,61.96649,56.82756,55.68003,54.68218
26-01-2014,59.13924,55.08132,56.07917,58.47401,60.17036,61.81681,60.71917,64.21165,66.45681,67.05552,68.80176,66.65638,69.25079,68.50240,73.44176,69.15101,63.96219,62.36563,67.40477,66.85595,67.35488,67.30498,69.55015,66.80606
27-01-2014,64.86025,67.12204,67.90369,66.35703,63.36348,58.97294,52.83616,49.94239,41.90970,45.45207,53.13551,56.57810,56.82756,52.73637,54.58240,55.08132,49.49336,49.39358,46.44992,44.30454,48.19616,51.68863,49.94239,51.04003
28-01-2014,56.94397,57.21007,58.47401,60.51960,61.16821,62.71487,61.61724,53.23530,43.80562,43.95529,46.94884,51.83831,53.13551,55.72992,57.07702,43.90540,36.47142,39.76432,40.66239,41.26110,44.85336,37.41938,43.45637,42.80777
29-01-2014,43.97192,49.42684,50.24175,50.94024,52.43702,57.77552,57.72562,42.75787,33.62755,32.82927,37.41938,37.76862,35.32389,38.11787,34.47572,33.77722,30.58410,32.28045,22.10238,34.92475,41.95959,36.97034,47.39788,46.94884
30-01-2014,41.37751,45.50196,49.94239,50.59100,50.54110,49.09422,47.79702,45.55185,40.86196,43.90540,42.60820,37.46927,30.46769,24.64690,25.34539,17.71184,12.67270,7.88302,3.04344,2.09549,1.74624,1.39699,1.39699,1.49678
31-01-2014,1.53004,1.53004,1.54667,1.89592,3.49248,11.02624,15.41678,21.65335,17.36259,15.06754,13.72044,10.47743,11.97420,18.51012,35.27400,52.98584,59.02283,53.38498,49.94239,44.40433,42.80777,44.20476,54.78197,60.71917
01-02-2014,66.45681,71.71215,68.35273,63.16391,67.30498,68.75187,62.96434,64.51100,63.26369,64.46111,68.80176,63.56305,60.76907,57.42627,62.76477,62.81466,58.32433,61.56735,62.01638,62.31573,60.61939,60.56950,63.36348,63.76262
02-02-2014,62.86455,58.54053,59.67143,60.27014,59.12261,57.72562,57.22670,55.48046,56.47831,61.01853,61.36778,62.46541,64.76047,63.46326,64.01208,62.16606,56.47831,53.58455,44.65379,45.15271,48.94454,47.84691,41.51056,46.15056
03-02-2014,53.41824,56.27874,57.57595,59.17251,61.46756,60.17036,57.47616,53.93379,51.18971,56.17896,57.82541,57.82541,57.37638,57.32648,56.97724,53.88390,47.24820,46.59960,49.64304,47.54755,37.71873,31.28260,33.32819,34.67529
04-02-2014,33.32819,34.19299,35.37378,45.30239,48.84476,50.74067,50.24175,45.95099,39.61465,45.45207,50.44132,56.12906,61.41767,61.11831,58.22455,61.76692,55.72992,61.11831,61.26799,60.96864,62.96434,59.87100,61.76692,65.50885
