Date,confirmados_novos,recuperados,Temperature,Visibility,total_testes,testes_pcr,testes_antigenio,new_cases_per_million_Austria,new_deaths_per_million_Austria,new_cases_per_million_Belgium,new_deaths_per_million_Belgium,icu_patients_per_million_Belgium,hosp_patients_per_million_Belgium,new_deaths_per_million_Bulgaria,new_cases_per_million_Canada,new_deaths_per_million_Canada,icu_patients_per_million_Canada,new_cases_per_million_Cyprus,new_deaths_per_million_Czechia,hosp_patients_per_million_Czechia,new_cases_per_million_Denmark,new_tests_per_thousand_Estonia,icu_patients_per_million_France,new_cases_per_million_Georgia,new_cases_per_million_Germany,new_deaths_per_million_Germany,icu_patients_per_million_Germany,new_deaths_per_million_Hungary,hosp_patients_per_million_Hungary,positive_rate_India,new_cases_per_million_Ireland,new_deaths_per_million_Ireland,icu_patients_per_million_Ireland,hosp_patients_per_million_Ireland,new_tests_per_thousand_Ireland,positive_rate_Ireland,new_tests_per_thousand_Italy,new_cases_per_million_Japan,new_deaths_per_million_Japan,new_cases_per_million_Latvia,new_deaths_per_million_Latvia,hosp_patients_per_million_Latvia,new_tests_per_thousand_Latvia,new_cases_per_million_Lithuania,new_tests_per_thousand_Lithuania,icu_patients_per_million_Luxembourg,new_deaths_per_million_Malta,new_tests_per_thousand_Malta,positive_rate_Malta,new_cases_per_million_Monaco,new_cases_per_million_Montenegro,positive_rate_Mozambique,new_deaths_per_million_Poland,positive_rate_Romania,new_cases_per_million_Russia,new_deaths_per_million_Russia,new_deaths_per_million_Serbia,positive_rate_Serbia,new_cases_per_million_Slovakia,new_tests_per_thousand_Slovakia,new_cases_per_million_Slovenia,new_deaths_per_million_Slovenia,icu_patients_per_million_Slovenia,new_tests_per_thousand_Slovenia,new_deaths_per_million_Switzerland,new_cases_per_million_Turkey,positive_rate_Ukraine,new_deaths_per_million_United Arab Emirates,tests_per_case_United Arab Emirates,new_cases_per_million_United Kingdom,new_deaths_per_million_United Kingdom,icu_patients_per_million_United Kingdom,hosp_patients_per_million_United Kingdom,positive_rate_United Kingdom,new_cases_per_million_United States,new_deaths_per_million_United States,obitos
2020-02-26,0.0,0.0,12.9,12.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.251,0.119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,1656.7,0.044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,14.5,11.8,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.173,0.008,0.03,0.0,0.227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.206,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,1539.4,0.103,0.0,0.0,0.0,0.0,0.003,0.0,0.0
2020-02-28,0.0,0.0,13.3,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061,0.142,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,1402.4,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,15.1,9.6,0.0,0.0,0.0,0.6659999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,0.345,0.006,0.133,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.049,0.071,0.008,0.0,0.0,0.0,0.061,0.3670000000000001,0.0,0.0,0.0,0.016,0.0,25.482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,1307.1,0.07400000000000001,0.0,0.0,0.0,0.0,0.024,0.003,0.0
2020-03-01,0.0,0.0,15.3,9.5,25.0,25.0,0.0,0.555,0.0,0.086,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.173,0.014,0.133,0.501,0.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.111,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.018000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,1340.3,0.486,0.0,0.0,0.0,0.0,0.021,0.0,0.0
2020-03-02,2.0,0.0,14.7,11.0,45.0,45.0,0.0,0.444,0.0,0.518,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.34600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.15,0.0,0.53,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,1372.7,0.589,0.0,0.0,0.0,0.0,0.069,0.015,0.0
2020-03-03,2.0,0.0,15.2,10.8,61.0,61.0,0.0,0.333,0.0,0.431,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.345,0.022,0.0,0.0,0.442,0.0,0.0,0.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,0.042,0.158,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,803.5,0.81,0.0,0.0,0.0,0.0,0.057,0.003,0.0
2020-03-04,2.0,0.0,16.3,11.2,40.0,40.0,0.0,0.888,0.0,0.863,0.0,0.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,0.863,0.027000000000000003,0.222,0.0,0.7879999999999999,0.0,0.0,0.0,0.207,0.0,0.81,0.0,0.0,0.0,0.0,0.0,0.066,0.277,0.008,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,1693.5,0.84,0.0,0.0,0.0,0.0,0.1,0.012,0.0
2020-03-05,3.0,0.0,14.8,11.1,80.0,80.0,0.0,1.332,0.0,2.33,0.0,0.0,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.34,0.251,2.6260000000000003,0.0,0.0,0.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.253,0.0,0.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.0,0.962,0.0,0.0,0.05,0.116,0.0,0.0,0.0,1801.0,0.722,0.0,0.0,0.0,0.0,0.233,0.003,0.0
2020-03-06,4.0,0.0,13.6,11.7,81.0,81.0,0.0,1.554,0.0,5.091,0.0,0.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,2.244,0.054000000000000006,0.5770000000000001,0.0,2.244,0.0,0.0,0.0,0.414,0.0,2.43,0.0,0.0,0.0,0.0,0.0,0.066,0.435,0.0,0.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.14300000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.183,0.069,2.405,0.0,0.0,0.134,0.0,0.0,0.0,0.0,2558.4,1.164,0.015,0.0,0.0,0.0,0.16,0.006,0.0
