Date,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_novos,recuperados,obitos,internados_uci,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,ativos,internados_enfermaria,confirmados_0_9,confirmados_10_19,confirmados_20_29,confirmados_30_39,confirmados_40_49,confirmados_50_59,confirmados_60_69,confirmados_70_79,confirmados_80_plus,obitos_0_9,obitos_10_19,obitos_20_29,obitos_30_39,obitos_40_49,obitos_50_59,obitos_60_69,obitos_70_79,obitos_80_plus,Max_Temp,Min_Temp,Temperature,Precipitation,Wind_Speed,Wind_Direction,Visibility,Cloud_Cover,Relative_Humidity,Rain,Clear,Partially_cloudy
2020-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,6.9,9.6,0.2,9.0,114.04,5.4,5.2,91.29,1,0,0
2020-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,8.0,10.1,0.1,10.4,57.96,6.6,10.7,91.84,1,0,0
2020-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,11.0,13.1,0.0,8.4,153.71,9.8,9.9,80.97,0,1,0
2020-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.1,9.6,12.2,0.0,17.6,100.58,9.3,4.6,78.63,0,1,0
2020-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,7.4,10.1,0.0,16.4,81.5,11.1,0.0,75.41,0,1,0
2020-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,6.4,9.9,0.0,10.6,134.33,9.1,6.8,82.27,0,1,0
2020-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1,6.5,9.8,0.0,13.1,142.33,9.8,7.0,77.92,0,1,0
2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,7.2,11.9,0.0,16.9,263.58,9.3,7.5,83.02,0,1,0
2020-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,11.2,14.0,0.0,15.3,329.04,10.8,12.8,87.75,0,1,0
2020-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,9.1,11.5,0.0,23.4,303.63,11.3,2.6,68.88,0,1,0
2020-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,7.8,10.7,0.0,15.7,86.67,10.8,0.4,61.42,0,1,0
