Periodo;Nº de acionamentos do Serviço de Helicópteros de Emergência Médica (SHEM);Nº de acionamentos das Viaturas Médica de Emergência e Reanimação (VMER);Nº de acionamentos de Ambulâncias de Transporte Inter-Hospitalar Pediátrico (TIP);Nº de acionamentos das Ambulâncias de Suporte Imediato de Vida (SIV);Nº de acionamentos das Ambulâncias de Emergência Médica (AEM);Nº de acionamentos dos Motociclos de Emergência Médica (MEM);Nº de acionamentos das Unidade Móvel de Intervenção Psicológica de Emergência (UMIPE);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos de Emergência Médica (PEM);Nº de acionamentos das Ambulâncias de Socorro sedeadas em Postos Reserva (RES);Nº de acionamentos das Ambulâncias sedeadas em Postos Não INEM (NINEM)
2017-01-10;1;289;7;112;481;32;2;2318;565;125
2017-04-24;2;245;3;90;411;33;1;2077;458;140
2017-06-18;4;275;2;110;430;0;1;2162;504;123
2017-07-02;2;239;2;104;409;3;0;2019;435;100
2017-10-21;0;247;1;89;442;0;3;1951;429;121
2018-01-10;2;266;7;111;437;25;0;2329;490;127
2018-02-07;3;260;6;98;494;30;2;2380;455;116
2018-02-13;1;279;5;92;471;24;1;2259;439;111
2016-11-04;2;242;3;103;456;24;0;1900;453;111
2016-11-06;1;197;3;80;435;0;2;1705;429;58
2017-01-12;3;295;4;116;453;22;0;2261;558;123
2017-02-28;3;248;1;99;437;16;0;1864;410;84
2017-04-12;3;220;5;93;428;28;0;1990;433;119
2017-04-23;4;212;2;80;408;0;2;1924;435;119
2017-05-04;2;219;3;76;430;25;0;1967;466;144
2017-09-11;4;225;4;102;403;23;0;2013;491;150
2017-10-14;2;256;3;81;477;0;0;2001;486;123
2017-10-28;2;255;5;99;436;1;0;2107;463;142
2017-10-30;2;256;5;96;450;40;1;2159;528;159
2017-11-22;4;249;6;96;434;36;2;2135;485;161
2017-12-19;2;273;5;103;441;27;2;2361;526;195
2018-01-27;3;291;4;113;448;0;3;2199;462;105
2018-01-29;0;291;5;114;476;34;2;2516;499;146
2016-11-18;6;227;2;93;430;26;0;1902;458;112
2016-12-01;5;262;3;107;470;0;0;1994;485;121
2016-12-16;2;309;4;106;506;34;1;2198;542;123
2017-03-28;2;289;5;95;473;36;1;2044;457;105
2017-05-17;3;265;9;79;447;31;0;2023;466;139
2017-07-16;2;232;5;94;396;6;2;1991;455;119
2017-07-29;5;250;3;88;414;9;0;2082;454;135
2017-08-15;5;223;0;96;406;7;0;1971;496;93
2017-09-29;2;262;4;90;449;42;1;2083;506;152
2017-11-28;2;271;5;97;453;15;1;2144;486;147
2017-12-20;3;283;9;109;395;25;1;2250;537;163
2017-12-21;2;301;4;129;422;28;3;2198;519;178
2018-01-13;6;293;5;111;483;0;6;2183;487;101
2017-02-11;2;249;7;111;456;0;0;1974;487;84
2017-03-02;4;264;4;99;452;38;0;2005;501;123
2017-03-16;3;287;5;86;433;26;2;1987;522;119
2017-08-10;8;235;4;89;450;32;1;2065;441;130
2017-09-17;2;206;1;85;398;3;1;1830;440;112
2017-09-30;1;213;1;102;420;0;2;1971;452;105
2017-12-06;1;258;5;90;392;20;1;2232;508;175
2018-01-19;2;285;3;93;474;39;2;2461;475;142
2018-02-18;0;291;5;111;415;0;3;2385;445;116
2016-11-28;2;303;8;110;520;28;2;2365;596;151
2016-11-30;2;253;3;105;491;35;0;2160;489;132
2017-01-05;1;286;5;126;516;30;2;2332;599;143
2017-03-17;1;252;2;89;469;32;4;2016;454;119
2017-03-19;2;261;2;91;445;0;0;1924;446;101
2017-03-23;1;257;7;95;430;28;2;1854;413;101
2017-06-16;2;246;4;109;477;39;0;2281;522;162
2017-07-21;3;208;1;88;413;41;0;1938;433;133
2017-08-02;3;234;1;83;436;25;1;1967;462;136
2017-10-24;2;248;0;113;450;33;0;2041;483;157
2018-02-21;4;289;4;108;483;35;6;2468;493;153
2017-06-03;3;216;1;85;440;0;0;1882;431;87
