Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,10/01/2020,23.4,16,19,,,0,0,0,19,294.54,,11,6,71.78,Clear
Portugal,10/02/2020,19.9,14.7,18.1,,,2.07,0,0,28.6,300.08,57.6,10.2,5.4,75.93,Rain
Portugal,10/03/2020,21.3,13.6,16.7,,,0.35,0,0,20.2,295.04,,10.5,2.1,68.95,Rain
Portugal,10/04/2020,21.1,15.1,17.3,,,0.38,0,0,22.5,271.88,,10.5,3.9,73.58,Rain
Portugal,10/05/2020,22.5,14.5,17.9,,,0,0,0,16.1,277.08,,10.9,5.2,76.92,Clear
Portugal,10/06/2020,26,17.6,20.6,,,0,0,0,18.8,248.63,,11,5.5,80.42,Clear
Portugal,10/07/2020,26.2,15.9,20.2,,,0,0,0,17,205.13,,10.8,0.8,70.62,Clear
Portugal,10/08/2020,25.7,16.5,20.5,,,0,0,0,19.4,235.92,,10.7,1.7,72.02,Clear
Portugal,10/09/2020,25.1,16.5,19.8,,,0,0,0,21.6,316.08,,10.9,2.7,66.95,Clear
Portugal,10/10/2020,26.4,16,20.1,,,0,0,0,20.5,300.54,,10.9,1.1,68.44,Clear
Portugal,10/11/2020,26,15.4,20.3,,,0,0,0,28.9,160.42,,11,0,50.59,Clear
Portugal,10/12/2020,23.1,14.7,18.6,,,0,0,0,26.3,117.58,,11,1.5,40.29,Clear
Portugal,10/13/2020,24,15,18,,,0,0,0,23.4,317.38,50,10.7,2.6,69.81,Clear
Portugal,10/14/2020,20,13.6,16.2,,,0,0,0,28.6,348.75,,11,2.4,64.26,Clear
Portugal,10/15/2020,20.1,13.1,15.8,,,0,0,0,26.7,302.04,,10.9,1.6,64.76,Clear
Portugal,10/16/2020,21,13,16,,,0,0,0,19.8,218.5,,10.7,2.9,69.73,Clear
Portugal,10/17/2020,21.9,12,15.7,,,0,0,0,18.8,205.38,,10.7,1.3,76.17,Clear
Portugal,10/18/2020,23,13.1,16.7,,,0,0,0,15.7,119.54,,7.6,5.4,79.45,Clear
Portugal,10/19/2020,20.1,15.2,17.4,,,55.52,0,0,35,174.75,57.6,8.8,7.5,92.65,Rain
Portugal,10/20/2020,18.7,15.2,17,,,43.53,0,0,36.2,194.71,48.2,8.2,7.1,99.32,Rain
Portugal,10/21/2020,20.4,14.7,16.5,,,32.67,0,0,24.7,220.92,,10.7,5.1,90.2,Rain
Portugal,10/22/2020,19.6,13.5,15.8,,,20.8,0,0,20.7,203.54,,8.6,3,88.78,Rain
Portugal,10/23/2020,19.8,13,15.7,,,0,0,0,13.9,279.79,,10.7,2,79.08,Clear
Portugal,10/24/2020,19.5,12,15.7,,,0,0,0,22.4,218.75,,10.8,5.4,80.79,Clear
Portugal,10/25/2020,19,13.2,16.6,,,5.65,0,0,25.7,246.13,,9.8,19.6,88.98,Rain
Portugal,10/26/2020,17.7,12.1,14.5,,,3.8,0,0,17.2,292.92,,10.9,14.9,69.24,Rain
Portugal,10/27/2020,19,12.5,15.2,,,0.3,0,0,20.4,225.42,,10.9,7.4,80.01,Rain
Portugal,10/28/2020,19.3,15.5,17.3,,,2.52,0,0,16.3,172.38,,9.3,8.9,84.99,Rain
Portugal,10/29/2020,20.8,14.1,17.1,,,0,0,0,11.9,139.88,,10.8,6.2,70.16,Clear
Portugal,10/30/2020,22.7,13.4,17.6,,,0,0,0,13.6,141.21,,10.5,0.2,72.63,Clear
Portugal,10/31/2020,21.5,14.6,17.5,,,0,0,0,15.4,179.83,,10.3,4.4,82.49,Clear
Portugal,11/01/2020,20.8,16.4,18.2,,,0,0,0,10.1,198.67,,10.9,37.4,87.2,Partially cloudy
Portugal,11/02/2020,20.6,16.1,18.7,,,0,0,0,24.9,305.25,40.7,10.3,4.3,85.43,Clear
Portugal,11/03/2020,17.6,14,15.4,,,0,0,0,32.1,249.92,57.6,11.5,2,62.75,Clear
Portugal,11/04/2020,14,12,12.9,,,0,0,0,26,262.79,,12.7,4.5,62.46,Clear
Portugal,11/05/2020,18.1,12.1,14.6,,,6.09,0,0,20.1,91.42,,11,10.4,82.43,Rain
Portugal,11/06/2020,15.1,13,14.3,,,26.11,0,0,19.3,136.29,27.7,10.5,9.1,94.01,Rain
Portugal,11/07/2020,19.5,13.4,16.2,,,0.96,0,0,29.3,192.17,,10.9,7.3,86.87,Rain
Portugal,11/08/2020,19.1,14.7,16.9,,,4.03,0,0,25.4,203.42,,10.1,6.1,90.87,Rain
Portugal,11/09/2020,18.9,13.2,15.4,,,1.24,0,0,10.6,183.67,,10.7,7.5,91.19,Rain
Portugal,11/10/2020,17,11.4,13.8,,,0.2,0,0,10.1,168.79,,7.9,6.5,88.07,Rain
Portugal,11/11/2020,18.1,10.2,14.8,,,0.2,0,0,12.1,99.67,37.1,10.8,1.4,82.15,Rain
Portugal,11/12/2020,19.7,13.9,16.4,,,0,0,0,15.9,80.96,,11.3,3.4,75.8,Clear
Portugal,11/13/2020,17.6,13,15.7,,,0.09,0,0,14.5,64.71,,10.3,7.9,82.17,Rain
Portugal,11/14/2020,19,15.1,17.3,,,1.93,0,0,17.6,182.17,,8.6,14.3,94.92,Rain
Portugal,11/15/2020,21.1,15.7,17.9,,,0,0,0,17.3,176.54,,8.2,5.1,92.3,Clear
Portugal,11/16/2020,19.1,14.6,16.4,,,0,0,0,8.5,160.04,,8.6,11.5,91.64,Clear
