Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
04/07/2021,01/01/2020,01/31/2020,United States,2020,1,264620,242896,3698,52632,8230,11112,6666,15530,4497,4888,2880,60870,14103,14974,2905,4035,1701,6488,5,4,,,,,
04/07/2021,02/01/2020,02/29/2020,United States,2020,2,244871,224305,3344,48765,7753,10440,6146,14263,4062,4505,2738,56818,12809,14457,2907,3651,1470,6372,16,15,,,,,
04/07/2021,03/01/2020,03/31/2020,United States,2020,3,269728,247612,3689,51654,8429,11370,7602,15274,4495,4731,2996,60184,13732,15398,2869,3941,1684,7201,7095,6717,,,,,
04/07/2021,04/01/2020,04/30/2020,United States,2020,4,322351,300803,3384,48772,9430,12303,5862,13770,4060,4478,3064,62301,13422,15414,2565,3456,1754,7833,65239,61745,,,,,
04/07/2021,05/01/2020,05/31/2020,United States,2020,5,280452,255562,3095,49004,8348,10701,3637,12061,3506,4127,2846,56529,12776,18057,3357,3751,2055,9281,38190,35144,,,,,
04/07/2021,06/01/2020,06/30/2020,United States,2020,6,250303,225567,3047,47954,7617,9950,3087,10930,3285,4012,2882,53533,12309,17569,4015,3963,2229,7984,17910,15744,,,,,
04/07/2021,07/01/2020,07/31/2020,United States,2020,7,278811,252685,3149,50615,8623,11012,3339,11667,3313,4266,3503,57096,13017,18502,4079,4134,2396,8252,30989,28163,,,,,
04/07/2021,08/01/2020,08/31/2020,United States,2020,8,277062,251410,3285,51192,8282,10962,3214,11510,3390,4239,3568,56129,13084,18319,4196,3995,2312,7927,29732,26912,,,,,
04/07/2021,09/01/2020,09/30/2020,United States,2020,9,256880,233046,3156,49646,7960,10458,3095,11050,3307,3991,3335,53742,12758,16850,4049,3871,2131,7206,19028,16762,,,,,
04/07/2021,10/01/2020,10/31/2020,United States,2020,10,271979,248344,3255,50912,8231,10999,3338,11514,3533,4217,3801,56381,13485,,,,,,24582,21806,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,11/01/2020,11/30/2020,United States,2020,11,299631,277367,3373,49164,8768,11511,3546,11884,3614,4384,4622,57470,13405,,,,,,52579,47499,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,12/01/2020,12/31/2020,United States,2020,12,356322,334692,3653,50296,9865,12810,4173,12610,4002,4578,6295,62908,14745,,,,,,95594,87384,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,01/01/2021,01/31/2021,United States,2021,1,352599,333663,3460,49099,9419,12138,4129,12062,3944,4938,9781,60639,14336,,,,,,98759,90434,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,02/01/2021,02/28/2021,United States,2021,2,258164,244751,3058,42684,7390,9294,3095,9894,3292,3989,11749,49709,12055,,,,,,44157,39108,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,03/01/2021,03/31/2021,United States,2021,3,174561,168179,2022,33405,5009,7015,2162,7691,2515,2984,12015,36078,9087,,,,,,15606,13476,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
04/07/2021,04/01/2021,04/03/2021,United States,2021,4,2923,2879,30,656,68,115,41,144,55,40,151,591,164,,,,,,252,233,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
