Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
Portugal,01/01/2021,11.8,7.1,8.5,4,,5.59,0,0,19.9,284.08,,10.7,3.2,78.35,Rain
Portugal,01/02/2021,12.2,6.4,8.7,4.3,,0,0,0,18.9,329.13,,11,2.8,74.19,Clear
Portugal,01/03/2021,12,5.4,8.4,3.6,,0.56,0,0,11.9,249.42,,10.7,2.2,77.04,Rain
Portugal,01/04/2021,11.8,5.2,8.4,4,,0.1,0,0,15.3,281.74,,12,7.9,79.22,Rain
Portugal,01/05/2021,8.5,4,6.3,1.8,,0.5,0,0,18,88.46,,9.7,2.7,73.34,Rain
Portugal,01/06/2021,7.5,2.6,5.7,-0.4,,0,0,0,26.2,38.88,,11.9,4.3,64.6,Clear
Portugal,01/07/2021,10.3,5.7,7.9,1.8,,0,0,0,24.5,34.33,,11.9,3.7,53.28,Clear
Portugal,01/08/2021,9.7,5.7,7.2,1.4,,0,0,0,35.8,122.88,43.2,11.8,5.3,44.5,Clear
Portugal,01/09/2021,8,4.7,6.4,0.5,,0,0,0,28,208.75,,10.9,3.5,50.7,Clear
Portugal,01/10/2021,10,4.7,7.2,1.1,,0,0,0,22.1,60.33,,10.9,1.5,56.65,Clear
Portugal,01/11/2021,9.5,5,7.1,2.3,,0,0,0,24.1,81.67,,11.9,2.8,49.64,Clear
Portugal,01/12/2021,10.1,3,6.1,0.5,,0,0,0,11.3,62.54,,11.2,0,57.93,Clear
Portugal,01/13/2021,11.3,2.4,7.5,5.6,,0,0,0,11.4,111.13,,9.7,1,77.63,Clear
Portugal,01/14/2021,13.1,7.8,10.9,6,,0,0,0,21.1,224.58,,11.3,7.7,76.72,Clear
Portugal,01/15/2021,14.3,9.1,11.3,6.8,,0,0,0,17.8,219.79,35.3,9.6,2,78.52,Clear
Portugal,01/16/2021,12.5,6.1,9,4.6,,0,0,0,11.5,101.79,,9.9,0.4,70.76,Clear
Portugal,01/17/2021,14.5,5,9.4,3.6,,0,0,0,13.9,119.21,,9.8,0.2,66.31,Clear
Portugal,01/18/2021,13.4,4.9,9,2.4,,0,0,0,13.6,92.33,,9.8,0.2,66.62,Clear
Portugal,01/19/2021,13.6,5.5,10.4,3.8,,18.93,0,0,25.5,135.96,,6.5,5,82.73,Rain
Portugal,01/20/2021,15.1,12.1,13.6,,,11.23,0,0,28.9,240.38,57.6,9.2,5.8,90.18,Rain
Portugal,01/21/2021,14.7,12.7,14.2,,,13.58,0,0,32.2,231.46,55.4,7.3,5.6,94.31,Rain
Portugal,01/22/2021,16,11.3,13.2,,,1.49,0,0,32.4,261.17,55.4,10.4,9.6,76.99,Rain
Portugal,01/23/2021,15,11.5,13.6,,,12.48,0,0,30.3,248.96,44.6,8.3,8.9,93.54,Rain
Portugal,01/24/2021,15.5,11.7,13.9,,,5.46,0,0,24.4,240.46,28.8,10.1,12.9,91.23,Rain
Portugal,01/25/2021,17,14.2,15.2,,,4.67,0,0,25.1,251.63,48.2,8.6,15.1,92.52,Rain
Portugal,01/26/2021,18.4,14.1,15.4,,,7.71,0,0,13.3,261.08,,8.1,19.4,97.02,Rain
Portugal,01/27/2021,16,13.6,14.8,,,5.1,0,0,9,168.58,,10.1,12.9,92.39,Rain
Portugal,01/28/2021,13.5,11.3,12.5,,,0.12,0,0,10,103.33,31.7,6.3,18.9,95.1,Rain
Portugal,01/29/2021,13.7,11.2,12.7,,,1.8,0,0,21.4,204.17,,5.6,8.7,95.77,Rain
Portugal,01/30/2021,16.4,13.2,14.4,,,9.57,0,0,23.1,283.83,44.6,9.8,32.7,81.11,"Rain, Partially cloudy"
Portugal,01/31/2021,16.1,13.2,14.8,,,2.25,0,0,25.9,269.08,,8,9.8,93.22,Rain
Portugal,02/01/2021,15,13.3,14,,,0.45,0,0,20.4,243.13,40.7,8.8,72.6,92.46,"Rain, Partially cloudy"
Portugal,02/02/2021,15.9,13.6,14.6,,,4.9,0,0,27.6,210.48,,9.9,76.2,86.65,"Rain, Overcast"
Portugal,02/03/2021,16.9,11.8,14.2,,,15.72,0,0,27.5,223.13,,9.9,8.5,90.33,Rain
Portugal,02/04/2021,14,11,12.2,,,3.11,0,0,13.3,100.63,,10.4,3.5,86.4,Rain
Portugal,02/05/2021,13.5,10.7,11.7,,,6.07,0,0,25.4,271.25,,10.4,3.8,79.59,Rain
Portugal,02/06/2021,12,9.7,11,6.7,,1.3,0,0,28.2,328.29,51.8,9.8,5.9,76.41,Rain
Portugal,02/07/2021,14.1,10.1,12.2,,,13.82,0,0,31.7,263.25,,8.9,6.3,79.99,Rain
Portugal,02/08/2021,15.8,11.2,13.2,,,2.27,0,0,25.3,257.58,50,10.1,3.9,79.82,Rain
Portugal,02/09/2021,14.6,12.2,13.5,,,26.03,0,0,37.2,241.14,60.9,9.5,5.2,88.01,Rain
Portugal,02/10/2021,15,11.6,13.5,,,6.79,0,0,27.5,245.43,55.4,7.9,36.3,96.31,"Rain, Partially cloudy"
Portugal,02/11/2021,16.5,14,14.9,,,0.19,0,0,24.5,210.55,42.5,8.7,84.7,97.37,"Rain, Overcast"
Portugal,02/12/2021,16.6,10,13.5,9.3,,0,0,0,16.7,264.59,,10,44.4,85.09,Partially cloudy
Portugal,02/13/2021,16.2,8,12.1,7.1,,0.1,0,0,10,150.39,,8.2,3.2,87.58,Rain
Portugal,02/14/2021,18.7,9,13.4,7.8,,0,0,0,10,113.87,,9.2,1,71.49,Clear
Portugal,02/15/2021,19,10.4,14.6,,,0,0,0,17.1,137.88,,10.4,0.1,74.52,Clear
Portugal,02/16/2021,17.2,13,14.5,,,0,0,0,20.8,211.58,,9.8,4.1,88.68,Clear
Portugal,02/17/2021,16.4,12.1,14,,,0,0,0,18.1,158.58,,8.5,5.8,89.09,Clear
Portugal,02/18/2021,17.4,13.6,15,,,4.38,0,0,23.8,213.5,,9.9,5.5,90.36,Rain
Portugal,02/19/2021,16.9,13.5,14.8,,,0,0,0,34.5,176.17,,9.9,44.8,87.3,Partially cloudy
Portugal,02/20/2021,15,9.2,12.3,8.2,,40.95,0,0,38.9,185.83,57.6,7.8,35.5,93.91,"Rain, Partially cloudy"
Portugal,02/21/2021,13.1,8.5,10,7.6,,3.7,0,0,21.4,289,,10.3,5,83.59,Rain
Portugal,02/22/2021,15.8,8.4,12.9,7.5,,0.4,0,0,16.9,160.04,,10.4,3.3,80.16,Rain
Portugal,02/23/2021,16.8,9.8,13.6,8.5,,0.2,0,0,20.3,155.67,,10,4.5,80.8,Rain
Portugal,02/24/2021,18.4,9.2,14.1,7.8,,2.41,0,0,19.9,168.21,33.5,10.4,1.4,77.73,Rain
Portugal,02/25/2021,16.3,11.7,13.1,,,1.03,0,0,19.7,173.54,,10.3,5.1,79.78,Rain
Portugal,02/26/2021,14.5,11.6,13.2,,,4.44,0,0,14.1,108.71,,9.7,3.4,86.59,Rain
Portugal,02/27/2021,18.9,11.2,15.1,,,0,0,0,17,97.88,,10.4,0.2,67.56,Clear
Portugal,02/28/2021,17.7,10.1,13.8,,,0,0,0,12.6,190.96,,10,1.2,78.87,Clear
Portugal,03/01/2021,17.6,10.8,13.5,,,0,0,0,16.4,241.04,,8.6,4.4,80.89,Clear
Portugal,03/02/2021,18.1,10.9,14,,,0,0,0,12.2,160.33,,10.3,1.8,70.62,Clear
Portugal,03/03/2021,19.2,11,14.8,,,0,0,0,14.5,163.13,,10.3,1.1,76.01,Clear
Portugal,03/04/2021,16.3,11.1,12.8,,,22.43,0,0,18.3,113.96,40.7,9.1,4.4,89.11,Rain
Portugal,03/05/2021,15.3,11.1,13.5,,,0.22,0,0,23.5,53.5,,10.2,4.9,78.93,Rain
Portugal,03/06/2021,19,12.5,15.7,,,0,0,0,14.6,134.63,,10.6,0.4,61.68,Clear
Portugal,03/07/2021,17.9,11.5,13.5,,,0,0,0,20,325.42,,10.5,2.4,72.03,Clear
Portugal,03/08/2021,14.1,9.6,11.9,8.5,,0,0,0,24.1,318.67,,10.5,3.5,64.31,Clear
Portugal,03/09/2021,17.1,10,13.1,8.9,,0,0,0,20.6,241.42,44.6,10.4,0.8,61.59,Clear
Portugal,03/10/2021,17.5,8.7,12.9,7.2,,0,0,0,17.1,283.92,,10.5,2.2,70.88,Clear
Portugal,03/11/2021,17.1,11.7,14,,,0,0,0,13.3,288.17,,10.4,4.2,80.48,Clear
Portugal,03/12/2021,16.4,11.1,13.5,,,0.1,0,0,18.5,321.88,,10.5,3,73.61,Rain
Portugal,03/13/2021,16.6,9.1,12.6,8.9,,0,0,0,21.6,273.29,,10.5,1.8,63.62,Clear
Portugal,03/14/2021,19.2,10.9,14.2,,,0,0,0,23.9,113.33,40.7,10.5,0,60.61,Clear
Portugal,03/15/2021,21,11.4,15.6,,,0,0,0,20.3,136.13,,10.5,0.1,57.25,Clear
Portugal,03/16/2021,22.7,13.5,18,,,0,0,0,22.9,78.17,,10.5,0.1,41.49,Clear
Portugal,03/17/2021,22.1,13.4,17.8,,,0,0,0,26.5,43.79,,10.5,0,43.58,Clear
Portugal,03/18/2021,19.2,13.5,16.1,,,0,0,0,30,66,24.1,10.5,0,35.77,Clear
Portugal,03/19/2021,18.1,10,13.8,8,,0,0,0,25.4,136.33,,10.5,0.3,47.38,Clear
Portugal,03/20/2021,16,9.9,12.9,6.7,,0,0,0,36.6,119.79,,10.5,0,45.35,Clear
Portugal,03/21/2021,17.1,7.3,12,4.2,,0,0,0,21.8,111.17,,10.5,0,43.52,Clear
Portugal,03/22/2021,20.5,8.9,14.3,7.9,,0,0,0,17,252.7,,10.4,0.1,52.85,Clear
Portugal,03/23/2021,21.5,10.1,14.6,,,0,0,0,20.3,302.71,25.2,10.5,1.1,62.92,Clear
Portugal,03/24/2021,18.2,9.5,13.5,,,0,0,0,20.3,300.52,,10.5,0.9,65.38,Clear
Portugal,03/25/2021,17.7,9.5,13.6,8.6,,0,0,0,16.6,204.08,,10.5,1,67.37,Clear
Portugal,03/26/2021,18.7,10.9,14.2,,,0,0,0,19.7,204.5,,10.5,0.8,63.48,Clear
Portugal,03/27/2021,20.7,10.8,15.8,,,0,0,0,17.5,85.79,,10.5,0.9,54.3,Clear
Portugal,03/28/2021,23.1,11.7,17.5,,,0,0,0,21,107.75,,10.5,0.6,52.25,Clear
Portugal,03/29/2021,22.5,14.3,18.2,,,0,0,0,17.1,69.63,,10.5,0.8,62.34,Clear
Portugal,03/30/2021,22.5,16,18.7,,,0,0,0,18.7,49.96,40.7,10.3,0.3,59.8,Clear
Portugal,03/31/2021,26.6,15,18.8,,,0,0,0,22,121.61,,10.4,0.3,55.66,Clear
