Date,Cocaine (T40.5),Heroin (T40.1),Methadone (T40.3),Natural & semi-synthetic opioids (T40.2),"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)","Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",Number of Drug Overdose Deaths,"Opioids (T40.0-T40.4,T40.6)",Psychostimulants with abuse potential (T43.6),"Synthetic opioids, excl. methadone (T40.4)"
2015-01-01,5496,10788,3413,12269,14944,19161,47523,28986,4402,5766
2015-02-01,5592,11002,3372,12237,14885,19358,47725,29269,4449,6079
2015-03-01,5729,11167,3387,12267,14929,19640,48198,29609,4586,6390
2015-04-01,5908,11471,3401,12356,15022,20124,48748,30240,4675,6868
2015-05-01,5987,11675,3421,12474,15133,20539,49293,30745,4785,7254
2015-06-01,6022,11805,3392,12555,15184,20817,49691,31068,4957,7551
2015-07-01,6150,11985,3341,12574,15174,21074,50301,31392,5081,7890
2015-08-01,6287,12201,3345,12649,15259,21407,50834,31767,5259,8216
2015-09-01,6437,12527,3393,12707,15355,21870,51575,32337,5450,8669
2015-10-01,6590,12700,3385,12773,15406,22286,52114,32775,5571,9101
2015-11-01,6720,12972,3331,12737,15326,22481,52386,33040,5689,9397
2015-12-01,6841,13051,3309,12747,15308,22651,52623,33203,5777,9610
2016-01-01,6988,13221,3276,12729,15279,22939,52902,33531,5922,9946
2016-02-01,7151,13479,3292,12878,15442,23647,53834,34251,6072,10585
2016-03-01,7358,13767,3285,13052,15601,24433,54781,35062,6174,11351
2016-04-01,7606,14010,3327,13266,15849,25226,55763,35837,6320,12048
2016-05-01,7842,14166,3299,13356,15918,25918,56465,36423,6459,12802
2016-06-01,8117,14410,3356,13528,16132,26737,57428,37187,6597,13562
2016-07-01,8513,14681,3393,13698,16330,27664,58525,38075,6838,14417
2016-08-01,8869,14859,3392,13830,16466,28493,59417,38856,6991,15256
2016-09-01,9265,14912,3339,13926,16520,29235,60147,39437,7047,16111
2016-10-01,9639,14984,3343,14072,16662,30112,61062,40149,7197,17027
2016-11-01,10054,15143,3373,14269,16875,31243,62340,41126,7362,18171
2016-12-01,10458,15551,3390,14534,17147,32575,63938,42435,7610,19500
2017-01-01,10955,15868,3388,14728,17345,33929,65571,43691,7826,20932
2017-02-01,11305,15963,3355,14784,17377,34699,66189,44281,8040,21844
2017-03-01,11664,16019,3357,14805,17403,35428,66858,44790,8250,22671
2017-04-01,12064,16011,3310,14865,17430,36013,67493,45245,8498,23371
2017-05-01,12433,16137,3302,15002,17571,36798,68370,45893,8807,24168
2017-06-01,12867,16168,3246,14970,17495,37530,69153,46473,9076,25062
2017-07-01,13064,16058,3220,15003,17503,38095,69504,46777,9294,25748
2017-08-01,13374,16014,3203,14935,17427,38749,69988,47179,9482,26577
2017-09-01,13573,15975,3218,14922,17440,39436,70599,47673,9813,27358
2017-10-01,13722,15919,3189,14809,17305,39776,70690,47813,10053,27876
2017-11-01,13829,15763,3183,14706,17223,40033,70723,47889,10255,28281
2017-12-01,14069,15593,3210,14559,17104,40286,70699,47885,10435,28659
2018-01-01,14158,15310,3187,14435,16959,40179,70122,47549,10615,28731
2018-02-01,14208,15150,3179,14250,16767,40082,69745,47242,10763,28811
2018-03-01,14334,15080,3189,14043,16574,40165,69364,47126,10961,29120
2018-04-01,14386,15038,3188,13793,16321,40267,69042,47012,11121,29453
2018-05-01,14567,14979,3174,13585,16109,40411,68789,46986,11246,29777
2018-06-01,14706,15033,3189,13508,16050,40655,68714,47083,11460,30158
2018-07-01,14830,15070,3178,13296,15845,40874,68728,47187,11761,30575
2018-08-01,14845,15129,3148,13168,15694,41026,68714,47251,12079,30884
2018-09-01,14849,15100,3138,13010,15517,40982,68421,47119,12241,30991
2018-10-01,14914,15155,3137,12873,15396,41139,68404,47273,12430,31262
2018-11-01,14898,15127,3084,12693,15162,41148,68102,47173,12606,31426
2018-12-01,14802,15102,3047,12620,15063,41136,67850,47096,12843,31525
2019-01-01,14731,15089,3027,12455,14880,41094,67697,46996,13142,31585
2019-02-01,14721,15060,3014,12331,14750,41134,67631,47025,13293,31754
2019-03-01,14679,15002,2936,12270,14637,41309,67727,47166,13563,32019
2019-04-01,14664,14904,2891,12177,14506,41352,67736,47162,13780,32197
2019-05-01,14659,14798,2858,12073,14378,41386,67795,47197,14055,32402
2019-06-01,14638,14640,2814,11958,14239,41456,67787,47230,14308,32594
2019-07-01,14729,14532,2802,11929,14197,41779,68023,47474,14608,33035
2019-08-01,14895,14409,2796,11876,14144,42145,68371,47772,14873,33514
2019-09-01,15075,14288,2759,11860,14117,42609,68757,48140,15247,34057
2019-10-01,15344,14178,2739,11874,14128,43244,69371,48663,15647,34768
2019-11-01,15710,14247,2743,11978,14227,44084,70357,49488,16015,35677
2019-12-01,16024,14116,2756,11941,14208,44900,71130,50178,16342,36603
2020-01-01,16332,14042,2761,11988,14267,45786,72052,50959,16624,37533
2020-02-01,16700,13975,2740,12083,14351,46802,73192,51877,17065,38620
2020-03-01,17141,13885,2773,12111,14412,47935,74442,52919,17599,39873
2020-04-01,17765,13977,2895,12272,14689,49966,76624,54879,18374,41932
2020-05-01,18476,14254,3053,12687,15227,53137,79974,57982,19243,45066
2020-06-01,18832,14241,3142,12767,15383,55169,82068,59935,19892,47199
2020-07-01,18997,14145,3234,12894,15593,56943,83989,61626,20539,48987
2020-08-01,19021,13905,3313,12986,15750,58414,85516,62972,21405,50492
