data,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira,confirmados_novos,recuperados,obitos,internados,internados_uci,vigilancia,confirmados_0_9_f,confirmados_0_9_m,confirmados_10_19_f,confirmados_10_19_m,confirmados_20_29_f,confirmados_20_29_m,confirmados_30_39_f,confirmados_30_39_m,confirmados_40_49_f,confirmados_40_49_m,confirmados_50_59_f,confirmados_50_59_m,confirmados_60_69_f,confirmados_60_69_m,confirmados_70_79_f,confirmados_70_79_m,confirmados_80_plus_f,confirmados_80_plus_m,confirmados_f,confirmados_m,obitos_arsnorte,obitos_arscentro,obitos_arslvt,obitos_arsalentejo,obitos_arsalgarve,obitos_acores,obitos_madeira,obitos_0_9_f,obitos_0_9_m,obitos_10_19_f,obitos_10_19_m,obitos_20_29_f,obitos_20_29_m,obitos_30_39_f,obitos_30_39_m,obitos_40_49_f,obitos_40_49_m,obitos_50_59_f,obitos_50_59_m,obitos_60_69_f,obitos_60_69_m,obitos_70_79_f,obitos_70_79_m,obitos_80_plus_f,obitos_80_plus_m,obitos_f,obitos_m,ativos,internados_enfermaria,Rt_número_de_reprodução,Max_Temp,Min_Temp,Temperature,Precipitation,Wind_Speed,Wind_Direction,Visibility,Cloud_Cover,Relative_Humidity,Rain,Clear,Partially_cloudy,flights,commercial_flights
2020-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8965170165104244,18.557142857142857,11.442857142857141,14.457142857142856,0.6157142857142857,22.271428571428572,247.38714285714286,10.614285714285714,4.885714285714285,76.03999999999999,0.42857142857142855,0.5714285714285714,0.0,177311.14285714287,104781.85714285714
2020-03-08,22.0,1.0,6.0,0.0,1.0,0.0,0.0,30,0.0,0.0,30.0,0.0,447.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,0.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1.6809888468708185,18.27142857142857,11.62857142857143,14.614285714285714,0.6485714285714285,23.67142857142857,251.8342857142857,11.114285714285714,6.442857142857144,74.55142857142856,0.5714285714285714,0.42857142857142855,0.0,178796.42857142858,103299.14285714286
2020-03-15,81.0,9.0,110.0,0.0,9.0,1.0,0.0,215,2.0,0.0,109.0,9.0,4145.0,0.0,1.0,14.0,6.0,11.0,15.0,24.0,27.0,23.0,20.0,16.0,24.0,5.0,9.0,3.0,12.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,130.0,1.765695721202793,21.385714285714283,11.714285714285714,16.014285714285712,0.0,20.61428571428571,257.52428571428567,11.085714285714285,3.8,68.81,0.0,1.0,0.0,167279.7142857143,96839.28571428571
2020-03-22,722.0,170.0,418.0,5.0,25.0,3.0,7.0,1355,3.0,14.0,30.0,32.0,7970.0,17.0,5.0,14.0,18.0,93.0,66.0,123.0,110.0,146.0,115.0,138.0,101.0,85.0,110.0,46.0,78.0,48.0,42.0,821.0,779.0,5.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1338.0,-2.0,1.5394540038699398,17.785714285714285,11.071428571428571,14.171428571428573,0.9728571428571428,22.900000000000002,185.54285714285714,10.4,1.5714285714285714,67.72999999999999,0.42857142857142855,0.5714285714285714,0.0,123842.85714285714,70288.85714285714
2020-03-29,2725.0,529.0,944.0,36.0,73.0,29.0,36.0,4362,38.0,105.0,317.0,97.0,5223.0,23.0,18.0,44.0,37.0,242.0,159.0,347.0,267.0,491.0,341.0,461.0,341.0,321.0,316.0,224.0,246.0,283.0,201.0,2436.0,1926.0,56.0,24.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,1.0,14.0,7.0,20.0,32.0,38.0,43.0,76.0,4219.0,220.0,1.2154342047806599,19.099999999999998,11.228571428571428,14.657142857142857,0.0,21.771428571428572,187.70428571428573,10.5,2.028571428571429,67.11571428571428,0.0,1.0,0.0,83941.0,42447.0
2020-04-05,2980.0,733.0,1426.0,41.0,93.0,34.0,9.0,5316,32.0,176.0,598.0,129.0,5424.0,41.0,57.0,78.0,60.0,345.0,246.0,438.0,331.0,568.0,344.0,555.0,394.0,365.0,276.0,204.0,244.0,483.0,287.0,3077.0,2239.0,97.0,44.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,7.0,17.0,22.0,60.0,60.0,84.0,92.0,5108.0,469.0,1.000943535604182,16.47142857142857,9.5,12.685714285714285,6.472857142857142,25.214285714285715,184.0614285714286,10.157142857142857,2.6999999999999997,79.95714285714287,0.7142857142857143,0.2857142857142857,0.0,70394.0,32699.85714285714
2020-04-12,3217.0,984.0,937.0,57.0,78.0,27.0,7.0,5307,202.0,209.0,93.0,-39.0,1832.0,66.0,55.0,76.0,78.0,338.0,194.0,396.0,257.0,520.0,317.0,558.0,300.0,324.0,258.0,271.0,187.0,799.0,313.0,3348.0,1959.0,122.0,48.0,33.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,7.0,14.0,16.0,26.0,88.0,49.0,113.0,96.0,4896.0,132.0,0.9191650095049939,19.54285714285714,13.742857142857142,16.07142857142857,6.721428571428571,19.314285714285713,231.34,8.9,4.585714285714286,87.51285714285713,0.5714285714285714,0.42857142857142855,0.0,63951.28571428572,28798.14285714286
2020-04-19,2401.0,497.0,659.0,19.0,31.0,12.0,2.0,3621,333.0,210.0,66.0,-4.0,2906.0,34.0,28.0,61.0,45.0,263.0,175.0,321.0,186.0,360.0,218.0,405.0,214.0,220.0,151.0,185.0,124.0,446.0,185.0,2295.0,1326.0,129.0,44.0,35.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,9.0,8.0,23.0,20.0,81.0,62.0,116.0,94.0,3078.0,70.0,0.9293258122817301,18.814285714285717,12.371428571428572,14.999999999999998,9.127142857142857,25.414285714285715,214.63285714285715,10.2,3.057142857142857,81.46142857142857,0.7142857142857143,0.2857142857142857,0.0,68235.57142857143,28086.571428571428
2020-04-26,2057.0,309.0,1031.0,29.0,12.0,14.0,25.0,3477,719.0,189.0,-238.0,-42.0,2506.0,14.0,19.0,101.0,63.0,274.0,270.0,265.0,218.0,324.0,190.0,317.0,178.0,177.0,177.0,165.0,123.0,413.0,189.0,2050.0,1427.0,110.0,24.0,49.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,9.0,10.0,21.0,84.0,55.0,99.0,90.0,2569.0,-196.0,0.8866702512333796,19.45714285714286,12.257142857142856,15.385714285714286,2.724285714285714,21.485714285714284,283.5657142857143,10.385714285714286,3.9428571428571426,75.79857142857144,0.2857142857142857,0.7142857142857143,0.0,73113.57142857143,28294.85714285714
2020-05-03,816.0,215.0,516.0,31.0,9.0,12.0,0.0,1599,360.0,140.0,-149.0,-38.0,-5129.0,17.0,16.0,27.0,28.0,110.0,119.0,126.0,98.0,133.0,103.0,152.0,115.0,69.0,42.0,55.0,38.0,203.0,67.0,892.0,626.0,78.0,21.0,35.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,7.0,6.0,11.0,14.0,51.0,43.0,72.0,68.0,1099.0,-111.0,0.8373118684036893,21.900000000000002,13.842857142857142,17.214285714285715,1.2185714285714284,20.171428571428574,212.39857142857142,10.299999999999999,2.771428571428572,78.9057142857143,0.5714285714285714,0.42857142857142855,0.0,76318.85714285714,29658.0
